Shot Type,HARDEN,MAXEY,MILTON,MELTON,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,13,0,0,0,0,65,4,5,1,0,1,1
shoot2FGM,9,0,0,0,0,37,2,3,0,0,0,1
shoot2FTA,8,4,0,0,0,46,6,0,0,0,0,4
shoot2FTM,7,3,0,0,0,47,5,2,0,0,0,3
shoot2TO,0,0,0,0,0,6,4,0,0,0,0,0
shoot3FGA,0,0,0,0,0,3,1,0,6,0,0,0
shoot3FGM,0,0,0,0,0,1,0,0,0,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,0,0,0,0,2,7,2,0,0,0,0,0
pass2FGM,0,0,0,0,2,3,2,0,0,0,0,0
pass2FTA,0,0,0,0,0,2,4,0,0,0,0,0
pass2FTM,0,0,0,0,0,1,0,0,0,0,0,0
pass2TO,0,0,0,0,0,1,0,0,0,0,0,0
pass3FGA,6,0,0,2,0,21,0,1,0,0,0,2
pass3FGM,5,0,0,2,0,7,0,1,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,2,0,0,0,0,0,0
