Shot Type,EMBIID,REED,NIANG,TUCKER,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,8,1,3,4,7,30,10,3,0,0,0,3
shoot2FGM,4,0,1,2,0,14,6,1,0,0,0,3
shoot2FTA,2,0,2,4,0,32,12,4,0,0,0,0
shoot2FTM,2,0,1,4,0,33,9,4,0,0,0,0
shoot2TO,0,0,1,1,0,2,0,2,0,0,1,0
shoot3FGA,16,1,0,2,2,30,0,5,19,0,0,0
shoot3FGM,7,1,0,2,0,13,0,4,7,0,0,0
shoot3FTA,0,0,0,6,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,6,0,1,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,1,0,0,0,0,0,0
pass2FGA,36,3,0,3,2,12,23,1,0,0,0,0
pass2FGM,22,1,0,1,2,9,14,0,0,0,0,0
pass2FTA,10,2,0,0,0,0,8,0,0,0,0,0
pass2FTM,9,1,0,0,1,0,7,0,0,0,0,0
pass2TO,4,2,0,0,0,5,3,0,0,0,0,0
pass3FGA,13,0,2,2,11,14,8,1,2,2,0,1
pass3FGM,9,0,0,2,4,6,1,1,2,2,0,1
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,2,0,0,3,0,4,0,0,0,0,0,0
