,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
EMBIID,0.76,10.1%,0,28.6%,1.23,8.0%,0,50.0%,4,50.0%,0,N/A,0.0,17.6%,0,0.0%,1,0.0%,2,0.0%
REED,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TUCKER,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
HARRELL,0.0,1.3%,1,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,5.9%,1,N/A,0,N/A,0,N/A
OTHERS,0.0,1.3%,1,N/A,0.0,1.6%,1,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.15,16.7%,5,12.5%,0.25,13.1%,3,20.0%,5,20.0%,0,N/A,0.0,29.4%,2,0.0%,0,N/A,3,0.0%
Transition,1.89,17.6%,0,83.3%,1.83,14.4%,0,85.7%,5,80.0%,2,100.0%,2.0,29.4%,0,80.0%,2,100.0%,3,66.7%
Attacking Closeouts,1.05,15.9%,2,50.0%,0.67,17.1%,2,37.5%,8,37.5%,0,N/A,3.0,11.8%,0,100.0%,0,N/A,2,100.0%
Catch & Shoot,1.36,28.2%,0,45.5%,1.36,36.1%,0,45.5%,0,N/A,22,45.5%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,1.33,3.8%,0,66.7%,1.33,4.9%,0,66.7%,2,100.0%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,1.25,5.1%,0,50.0%,0.67,4.9%,0,33.3%,3,33.3%,0,N/A,3.0,5.9%,0,100.0%,0,N/A,1,100.0%
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,0.67,11.5%,2,28.6%,1.2,55.6%,1,50.0%,4,50.0%,0,N/A,0,44.4%,1,0.0%,1,0.0%,2,0.0%
TOTAL,1.1,78,9,48.5%,1.1,78.2%,6,48.1%,27,48.1%,25,48.0%,1.12,21.8%,3,50.0%,3,66.7%,11,45.5%
