,HARDEN,MAXEY,MILTON,MELTON,OTHERS,ISO,Transition,Attacking Closeouts,Catch & Shoot,Off Ball Screens,Cutting,Off. Rebounds,PNR / DHO,TOTAL
Total PPP,1.63,1.7,N/A,3.0,2.0,1.2,0.98,1.5,0.0,N/A,0.0,0.57,1.72,1.21
% of Poss.,14.2%,0.7%,0.0%,0.8%,0.8%,63.9%,8.9%,4.1%,2.9%,0.0%,0.4%,3.6%,16.6%,241
Total FG%,69.0%,N/A,N/A,100.0%,100.0%,51.7%,61.5%,75.0%,0.0%,N/A,0.0%,20.0%,72.7%,54.1%
Shooting PPP,1.45,1.7,N/A,N/A,N/A,1.28,0.96,1.71,0.0,N/A,0.0,1.05,1.47,1.23
% of Shooting Poss.,15.6%,1.0%,0.0%,0.0%,0.0%,63.0%,9.7%,3.9%,3.9%,0.0%,0.6%,2.6%,75.0%,75.1%
Shooting FG%,65.2%,N/A,N/A,N/A,N/A,56.1%,54.5%,71.4%,0.0%,N/A,0.0%,33.3%,65.2%,54.5%
Shooting 2pt Att.,23,0,0,0,0,79,10,7,1,0,1,3,23,124
Shooting 2pt FG%,65.2%,N/A,N/A,N/A,N/A,57.0%,60.0%,71.4%,0.0%,N/A,0.0%,33.3%,65.2%,58.1%
Shooting 3pt Att.,0,0,0,0,0,3,1,0,6,0,0,0,0,10
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,33.3%,0.0%,N/A,0.0%,N/A,N/A,N/A,N/A,10.0%
Passing PPP,2.5,N/A,N/A,3.0,2.0,0.95,1.06,1.0,N/A,N/A,N/A,0.0,2,1.15
% of Passing Poss.,10.0%,0.0%,0.0%,3.3%,3.3%,66.5%,6.3%,5.0%,0.0%,0.0%,0.0%,6.7%,25.0%,24.9%
Passing FG%,83.3%,N/A,N/A,100.0%,100.0%,41.2%,100.0%,100.0%,N/A,N/A,N/A,0.0%,90.0%,53.1%
Passing 2pt Att.,0,0,0,0,2,9,2,0,0,0,0,0,2,13
Passing 2pt FG%,N/A,N/A,N/A,N/A,100.0%,55.6%,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%,69.2%
Passing 3pt Att.,6,0,0,2,0,25,0,1,0,0,0,2,8,36
Passing 3pt FG%,83.3%,N/A,N/A,100.0%,N/A,36.0%,N/A,100.0%,N/A,N/A,N/A,0.0%,87.5%,47.2%
