,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
EMBIID,1.32,24.4%,57.5%,1.25,13.9%,45.8%,8,50.0%,16,43.8%,1.35,35.6%,63.3%,36,61.1%,13,69.2%
REED,0.76,2.3%,40.0%,1.5,1.1%,50.0%,1,0.0%,1,100.0%,0.51,3.5%,33.3%,3,33.3%,0,N/A
NIANG,0.44,2.0%,20.0%,0.61,2.7%,33.3%,3,33.3%,0,N/A,0.0,1.2%,0.0%,0,N/A,2,0.0%
TUCKER,1.44,5.6%,63.6%,1.75,6.4%,66.7%,4,50.0%,2,100.0%,1.0,4.8%,60.0%,3,33.3%,2,100.0%
OTHERS,0.77,6.4%,27.3%,0.0,5.0%,0.0%,7,0.0%,2,0.0%,1.31,7.8%,46.2%,2,100.0%,11,36.4%
ISO,1.22,32.4%,48.8%,1.31,43.1%,45.0%,30,46.7%,30,43.3%,1.03,21.0%,57.7%,12,75.0%,14,42.9%
Transition,1.12,15.3%,51.2%,1.37,8.5%,60.0%,10,60.0%,0,N/A,1.01,22.5%,48.4%,23,60.9%,8,12.5%
Attacking Closeouts,1.53,4.0%,60.0%,1.53,6.6%,62.5%,3,33.3%,5,80.0%,1.5,1.2%,50.0%,1,0.0%,1,100.0%
Catch & Shoot,1.29,6.1%,42.9%,1.11,10.6%,36.8%,0,N/A,19,36.8%,3.0,1.2%,100.0%,0,N/A,2,100.0%
Off Ball Screens,3.0,0.6%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,1.2%,100.0%,0,N/A,2,100.0%
Cutting,0.0,0.3%,N/A,0.0,0.6%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.25,1.2%,100.0%,2.0,1.7%,100.0%,3,100.0%,0,N/A,3.0,0.6%,100.0%,0,N/A,1,100.0%
PNR / DHO,1.18,40.5%,50.0%,1.1,37.1%,38.6%,23,30.4%,21,47.6%,1,62.9%,56.9%,44,59.1%,28,53.6%
TOTAL,1.22,346,50.7%,1.25,51.7%,45.1%,69,44.9%,75,45.3%,1.19,48.3%,56.6%,80,61.3%,56,50.0%
