,EMBIID,REED,TUCKER,HARRELL,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,2.27,N/A,N/A,N/A,N/A,0.0,2.43,N/A,2.0,0.0,N/A,N/A,2.27,1.65
% of Poss.,16.0%,0.0%,0.0%,0.0%,0.0%,8.0%,32.0%,0.0%,40.0%,4.0%,0.0%,0.0%,16.0%,25
Total FG%,N/A,N/A,N/A,N/A,N/A,0.0%,100.0%,N/A,66.7%,0.0%,N/A,N/A,nan%,54.5%
Shooting PPP,2.27,N/A,N/A,N/A,N/A,0.0,2.13,N/A,2.0,0.0,N/A,N/A,2.27,1.53
% of Shooting Poss.,17.4%,0.0%,0.0%,0.0%,0.0%,8.7%,26.1%,0.0%,43.5%,4.3%,0.0%,0.0%,100.0% | 0,92.0% | 10
Shooting FG%,N/A,N/A,N/A,N/A,N/A,0.0%,100.0%,N/A,66.7%,0.0%,N/A,N/A,nan%,50.0%
Shooting 2pt Att.,0,0,0,0,0,2,1,0,0,0,0,0,0,3
Shooting 2pt FG%,N/A,N/A,N/A,N/A,N/A,0.0%,100.0%,N/A,N/A,N/A,N/A,N/A,nan%,33.3%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,6,1,0,0,0,7
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.7%,0.0%,N/A,N/A,nan%,57.1%
Passing PPP,N/A,N/A,N/A,N/A,N/A,N/A,3.0,N/A,N/A,N/A,N/A,N/A,nan,3.0
% of Passing Poss.,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0% | 0,8.0% | 1
Passing FG%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,nan%,100.0%
Passing 2pt Att.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan%,nan%
Passing 3pt Att.,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,nan%,100.0%
