,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
EMBIID,1.36,22.6%,60.0%,1.36,29.4%,60.0%,5,60.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
REED,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TUCKER,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
NIANG,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.15,53.4%,60.0%,1.11,49.4%,57.1%,7,57.1%,0,N/A,1.25,66.7%,66.7%,1,100.0%,2,50.0%
Transition,1.33,11.5%,66.7%,1.33,15.0%,66.7%,3,66.7%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,1.0,7.7%,100.0%,2.0,5.0%,100.0%,1,100.0%,0,N/A,0.0,16.7%,N/A,0,N/A,0,N/A
Catch & Shoot,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,7.7%,0.0%,0.0,5.0%,0.0%,1,0.0%,0,N/A,0.0,16.7%,N/A,0,N/A,0,N/A
PNR / DHO,1.6,19.2%,60.0%,1.6,100.0%,60.0%,5,60.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,1.12,26,60.0%,1.2,76.9%,58.8%,17,58.8%,0,N/A,0.83,23.1%,66.7%,1,100.0%,2,50.0%
