Shot Type,ALLEN,MOBLEY,LEVERT,MITCHELL,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,33,30,1,1,13,41,18,15,0,1,2,0
shoot2FGM,18,16,1,0,6,14,9,8,0,1,2,0
shoot2FTA,16,4,0,0,8,17,6,10,0,4,0,0
shoot2FTM,11,4,0,0,6,11,5,8,0,4,0,0
shoot2TO,1,2,0,0,1,2,3,2,0,0,0,0
shoot3FGA,10,6,0,2,11,23,8,1,29,3,0,0
shoot3FGM,7,1,0,0,7,5,4,1,19,1,0,0
shoot3FTA,0,0,0,0,0,0,3,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,3,0,0,0,0,0
shoot3TO,0,0,0,0,1,0,0,0,1,0,0,0
pass2FGA,19,15,0,1,3,11,11,2,0,1,0,0
pass2FGM,11,12,0,1,1,10,9,1,0,1,0,0
pass2FTA,0,10,0,0,0,2,0,2,0,0,0,0
pass2FTM,0,5,0,0,0,1,2,0,0,0,0,0
pass2TO,2,3,0,0,0,1,1,0,0,0,0,0
pass3FGA,15,10,0,1,5,12,8,5,0,0,0,0
pass3FGM,3,2,0,1,2,7,2,2,0,0,0,0
pass3FTA,0,0,0,0,0,3,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,3,0,0,0,0,0,0
pass3TO,1,0,0,0,0,2,0,0,0,0,0,0
