Shot Type,MITCHELL,GARLAND,LEVERT,OSMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,5,2,2,0,1,17,4,0,1,0,15,3
shoot2FGM,1,1,2,0,1,8,4,0,0,0,13,3
shoot2FTA,2,4,3,0,0,4,2,2,0,0,0,0
shoot2FTM,0,3,1,0,0,3,3,2,0,0,2,0
shoot2TO,0,0,0,0,0,3,0,1,0,0,0,0
shoot3FGA,0,0,0,0,0,0,0,1,13,0,0,0
shoot3FGM,0,0,0,0,0,0,0,1,2,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,0,0,0,0,0,1,0,1,0,0,0,1
pass2FGM,0,0,0,0,0,1,0,0,0,0,0,1
pass2FTA,0,0,0,0,0,0,2,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,2,0,0,0,0,0
pass2TO,0,0,0,0,0,1,0,1,0,0,0,0
pass3FGA,0,1,0,0,0,3,1,1,0,0,0,0
pass3FGM,0,1,0,0,0,1,0,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,1,0,0,0,0,0,0,0,0,0,0,0
