Shot Type,ALLEN,MOBLEY,LEVERT,GARLAND,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,19,10,0,0,2,37,18,18,0,5,0,4
shoot2FGM,11,4,0,0,2,21,13,12,0,2,0,2
shoot2FTA,10,2,0,0,0,28,7,4,0,0,0,0
shoot2FTM,10,2,0,0,1,26,7,6,0,0,0,0
shoot2TO,1,1,0,0,0,3,4,2,0,0,0,0
shoot3FGA,12,5,0,0,2,21,8,0,34,5,0,0
shoot3FGM,4,2,0,0,2,9,2,0,11,2,0,0
shoot3FTA,0,0,0,0,0,3,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,2,1,0,0,0,0,0
shoot3TO,0,0,0,0,1,1,0,0,0,0,0,0
pass2FGA,5,12,0,0,0,5,0,2,0,0,0,0
pass2FGM,5,5,0,0,0,5,0,2,0,0,0,0
pass2FTA,0,0,0,0,0,0,2,0,0,0,0,0
pass2FTM,0,1,0,0,0,4,0,1,0,0,0,0
pass2TO,0,2,0,0,0,2,2,0,0,0,0,0
pass3FGA,12,0,0,1,1,10,2,0,0,0,0,0
pass3FGM,2,0,0,0,1,5,0,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,1,0
