,ALLEN,MOBLEY,LEVERT,MITCHELL,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.08,1.01,2.0,0.67,1.32,0.95,1.37,1.12,2.04,1.91,2.0,N/A,1.18
% of Poss.,21.4%,16.0%,0.3%,0.6%,10.0%,22.0%,12.3%,7.3%,6.8%,2.4%,0.6%,0.0%,617
Total FG%,48.6%,50.0%,100.0%,33.3%,51.6%,38.6%,58.8%,47.1%,70.8%,75.0%,100.0%,N/A,50.3%
Shooting PPP,1.29,1.01,2.0,0.0,1.42,0.76,1.28,1.26,2.04,1.89,2.0,N/A,1.21
% of Shooting Poss.,19.5%,12.0%,0.5%,0.5%,11.6%,23.1%,10.9%,8.6%,9.5%,2.9%,0.9%,0.0%,71.5% | 214
Shooting FG%,56.1%,48.3%,100.0%,0.0%,56.5%,29.8%,52.6%,53.8%,70.8%,66.7%,100.0%,N/A,49.5%
Shooting 2pt Att.,32,24,1,1,12,35,13,13,0,1,2,0,134
Shooting 2pt FG%,53.1%,54.2%,100.0%,0.0%,50.0%,34.3%,46.2%,53.8%,N/A,100.0%,100.0%,N/A,48.5%
Shooting 3pt Att.,9,5,0,1,11,22,6,0,24,2,0,0,80
Shooting 3pt FG%,66.7%,20.0%,N/A,0.0%,63.6%,22.7%,66.7%,N/A,70.8%,50.0%,N/A,N/A,51.2%
Passing PPP,0.79,1.02,N/A,2.0,1.0,1.69,1.5,0.61,N/A,2.0,N/A,N/A,1.12
% of Passing Poss.,26.1%,26.1%,0.0%,1.1%,6.2%,19.3%,15.9%,4.0%,0.0%,1.1%,0.0%,0.0%,28.5% | 94
Passing FG%,38.7%,52.4%,N/A,100.0%,37.5%,76.9%,66.7%,25.0%,N/A,100.0%,N/A,N/A,52.1%
Passing 2pt Att.,16,13,0,1,3,6,9,0,0,1,0,0,49
Passing 2pt FG%,56.2%,76.9%,N/A,100.0%,33.3%,83.3%,88.9%,N/A,N/A,100.0%,N/A,N/A,71.4%
Passing 3pt Att.,15,8,0,0,5,7,6,4,0,0,0,0,45
Passing 3pt FG%,20.0%,12.5%,N/A,N/A,40.0%,71.4%,33.3%,25.0%,N/A,N/A,N/A,N/A,31.1%
