Shot Type,ROB,HORFORD,GRANT,TATUM,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,2,1,1,1,6,1,4,3,0,0,1,3
shoot2FGM,2,1,0,0,2,1,3,1,0,0,0,3
shoot2FTA,0,2,0,0,0,0,1,0,0,0,0,1
shoot2FTM,1,1,0,0,0,0,1,0,0,0,0,1
shoot2TO,0,0,0,0,0,0,1,1,0,0,0,0
shoot3FGA,1,0,0,0,0,1,1,0,10,0,0,0
shoot3FGM,1,0,0,0,0,0,0,0,3,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,2,0,0,0,0,1,2,0,0,0,0,2
pass2FGM,1,0,0,0,0,1,2,0,0,0,0,2
pass2FTA,0,0,2,0,0,0,0,0,0,0,0,0
pass2FTM,0,0,2,0,0,0,0,0,0,0,0,0
pass2TO,0,0,0,0,0,0,0,0,0,0,0,0
pass3FGA,0,3,1,2,2,0,3,2,0,0,0,0
pass3FGM,0,2,0,0,2,0,0,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,1,0,1,0,0,0,0,0
