,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,0.0,10.0%,0.0%,0.0,18.2%,0.0%,0,N/A,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TATUM,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.25,40.0%,14.3%,0.5,36.4%,25.0%,4,25.0%,0,N/A,0.0,44.4%,0.0%,0,N/A,3,0.0%
Transition,2.0,20.0%,75.0%,0.0,9.1%,0.0%,0,N/A,1,0.0%,2.67,33.3%,100.0%,2,100.0%,1,100.0%
Attacking Closeouts,1.67,15.0%,66.7%,1.0,18.2%,50.0%,2,50.0%,0,N/A,3.0,11.1%,100.0%,0,N/A,1,100.0%
Catch & Shoot,0.0,5.0%,0.0%,0.0,9.1%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,10.0%,0.0%,0.0,9.1%,0.0%,1,0.0%,0,N/A,0.0,11.1%,0.0%,0,N/A,1,0.0%
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.0,10.0%,0.0%,0.0,100.0%,0.0%,0,nan%,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,0.75,20,31.6%,0.36,55.0%,18.2%,7,28.6%,4,0.0%,1.22,45.0%,50.0%,2,100.0%,6,33.3%
