,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,1.74,3.2%,70.0%,1.3,2.7%,50.0%,3,66.7%,3,33.3%,2.75,6.6%,100.0%,2,100.0%,2,100.0%
HORFORD,0.61,8.1%,23.3%,0.56,7.2%,22.7%,8,37.5%,14,14.3%,0.75,13.1%,25.0%,0,N/A,8,25.0%
GRANT,0.59,5.4%,22.2%,0.72,4.0%,30.0%,5,20.0%,5,40.0%,0.38,13.1%,12.5%,2,0.0%,6,16.7%
SMART,0.92,4.5%,33.3%,1.04,3.9%,37.5%,3,66.7%,5,20.0%,0.6,8.2%,25.0%,0,N/A,4,25.0%
OTHERS,1.0,2.0%,37.5%,0.83,1.7%,33.3%,4,25.0%,2,50.0%,1.5,3.3%,50.0%,0,N/A,2,50.0%
ISO,1.12,39.7%,40.8%,1.08,42.2%,38.7%,69,43.5%,37,29.7%,1.55,25.3%,57.1%,0,N/A,14,57.1%
Transition,1.44,13.5%,68.4%,1.39,12.4%,65.5%,27,70.4%,2,0.0%,1.6,19.5%,77.8%,4,100.0%,5,60.0%
Attacking Closeouts,1.17,8.2%,60.0%,1.32,7.9%,66.7%,21,66.7%,0,N/A,0.5,9.8%,25.0%,0,N/A,4,25.0%
Catch & Shoot,1.18,12.9%,39.6%,1.18,15.2%,39.6%,1,100.0%,47,38.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,1.61,1.8%,57.1%,1.4,1.9%,50.0%,1,100.0%,5,40.0%,3.0,1.6%,100.0%,0,N/A,1,100.0%
Cutting,2.0,0.2%,100.0%,2.0,0.3%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,0.7%,100.0%,2.0,0.9%,100.0%,3,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.86,23.0%,32.1%,0.82,71.3%,30.8%,23,39.1%,29,24.1%,1,28.7%,34.6%,4,50.0%,22,31.8%
TOTAL,1.13,408,44.4%,1.12,85.0%,43.6%,146,53.4%,120,31.7%,1.22,15.0%,48.1%,8,75.0%,46,43.5%
