,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,0.64,22.0%,27.3%,0.78,25.0%,33.3%,3,66.7%,6,16.7%,0.0,14.3%,0.0%,0,N/A,2,0.0%
GRANT,0.89,15.8%,28.6%,1.8,10.8%,66.7%,1,100.0%,2,50.0%,0.0,28.6%,0.0%,2,0.0%,2,0.0%
SMART,1.0,6.0%,33.3%,0.0,2.8%,0.0%,0,N/A,1,0.0%,1.5,14.3%,50.0%,0,N/A,2,50.0%
OTHERS,0.0,2.0%,0.0%,0.0,2.8%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.72,24.4%,60.0%,1.3,25.6%,42.9%,3,33.3%,4,50.0%,3.0,21.4%,100.0%,0,N/A,3,100.0%
Transition,1.26,9.5%,50.0%,1.26,13.2%,50.0%,2,50.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,0.6,10.0%,25.0%,0.0,5.6%,0.0%,2,0.0%,0,N/A,1.0,21.4%,50.0%,0,N/A,2,50.0%
Catch & Shoot,1.2,10.0%,40.0%,1.2,13.9%,40.0%,0,N/A,5,40.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,2.0%,100.0%,2.0,2.8%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.77,44.0%,27.3%,1.0,63.6%,35.7%,5,60.0%,9,22.2%,0,36.4%,12.5%,2,0.0%,6,16.7%
TOTAL,1.08,50,38.6%,1.09,72.0%,38.7%,13,46.2%,18,33.3%,1.07,28.0%,38.5%,2,0.0%,11,45.5%
