,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.01,23.0,12,47.3,0.98,16.3,43.6,43,51.2,12,16.7,1.04,36.1,50.9,37,56.8,18,38.9
PNR Screener,1.28,6.9,1,53.3,1.33,9.6,55.6,25,52.0,2,100.0,0.67,1.5,33.3,1,100.0,2,0.0
DHO Ball Handler,1.01,1.7,0,44.4,1.19,1.5,60.0,5,60.0,0,N/A,0.75,2.0,25.0,3,0.0,1,100.0
DHO Screener,0.71,1.7,1,37.5,0.0,0.8,0.0,2,0.0,0,N/A,1.02,3.5,50.0,6,50.0,0,N/A
DBL Ball Handler,1.06,0.3,0,0.0,0.0,0.3,0.0,1,0.0,0,N/A,2.27,0.4,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.04,21.5,8,45.3,0.95,20.4,40.6,56,39.3,8,50.0,1.19,23.5,52.4,18,72.2,24,37.5
TRANSITION,1.29,16.3,7,54.0,1.31,13.9,52.8,30,60.0,6,16.7,1.26,20.9,55.6,15,73.3,12,33.3
Attacking Closeouts,1.13,6.7,1,51.4,1.13,7.9,53.8,25,52.0,1,100.0,1.11,4.6,44.4,4,50.0,5,40.0
Catch & Shoot,1.12,13.4,1,37.7,1.11,19.1,37.5,0,N/A,72,37.5,1.2,2.5,40.0,0,N/A,5,40.0
Off Ball Screens,0.4,0.9,1,25.0,0.5,1.0,25.0,3,33.3,1,0.0,0.0,0.5,N/A,0,N/A,0,N/A
Cutting,1.6,5.0,0,77.8,1.58,6.5,78.3,23,78.3,0,N/A,1.75,2.0,75.0,2,100.0,2,50.0
Off. Rebounds,1.45,2.7,1,71.4,1.65,2.8,80.0,10,80.0,0,N/A,1.0,2.5,50.0,1,100.0,3,33.3
TOTAL,1.13,580,5.7,48.8,1.13,66.0,47.7,223,52.9,102,36.3,1.13,34.0,50.9,87,62.1,72,37.5
