,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,1.27,9.8,1,50.0,1.36,9.5,40.0,1,0.0,4,50.0,1.0,11.1,100.0,1,100.0,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.83,7.5,0,33.3,1.0,4.8,33.3,2,0.0,1,100.0,0.67,16.7,33.3,2,50.0,1,0.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,1.0,2.5,0,50.0,1.0,3.2,50.0,1,100.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.29,16.5,1,60.0,1.11,10.2,50.0,4,50.0,0,N/A,1.45,38.2,66.7,4,100.0,2,0.0
TRANSITION,1.42,12.3,2,71.4,1.02,9.5,66.7,3,66.7,0,N/A,2.0,22.2,75.0,1,100.0,3,66.7
Attacking Closeouts,1.02,7.3,1,50.0,1.02,9.5,50.0,4,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,0.6,25.0,0,20.0,0.6,32.3,20.0,0,N/A,20,20.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,2.4,1,N/A,0.0,1.4,N/A,0,N/A,0,N/A,0.0,5.6,N/A,0,N/A,0,N/A
Cutting,1.18,14.9,1,60.0,1.21,15.9,62.5,8,62.5,0,N/A,1.0,11.1,50.0,2,50.0,0,N/A
Off. Rebounds,0.67,3.8,0,33.3,0.67,4.8,33.3,3,33.3,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.0,80,8.8,44.1,0.92,77.5,38.5,26,50.0,26,26.9,1.27,22.5,62.5,10,80.0,6,33.3
