,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.96,14.4,22,46.8,1.02,11.1,48.6,47,53.2,23,39.1,0.86,25.4,43.9,22,54.5,19,31.6
PNR Screener,1.09,7.0,5,45.3,1.06,8.1,45.7,27,66.7,19,15.8,1.29,3.1,42.9,2,0.0,5,60.0
DHO Ball Handler,0.76,2.3,0,33.3,0.61,2.1,26.7,7,57.1,8,0.0,1.17,2.7,50.0,3,66.7,3,33.3
DHO Screener,1.09,1.8,1,56.2,1.6,0.7,80.0,5,80.0,0,N/A,0.9,5.9,45.5,7,71.4,4,0.0
DBL Ball Handler,0.68,0.9,0,14.3,0.2,0.6,0.0,4,0.0,0,N/A,1.29,1.7,33.3,0,N/A,3,33.3
DBL Screener,1.0,0.3,0,33.3,1.0,0.4,33.3,0,N/A,3,33.3,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.85,20.4,16,38.7,0.77,20.3,34.6,117,37.6,19,15.8,1.09,20.9,54.1,18,72.2,19,36.8
TRANSITION,1.25,18.2,19,64.2,1.29,17.2,67.3,79,77.2,19,26.3,1.12,21.5,55.6,21,76.2,15,26.7
Attacking Closeouts,1.09,8.5,9,52.9,1.12,8.7,55.4,48,58.3,8,37.5,0.94,8.0,42.9,5,20.0,9,55.6
Catch & Shoot,0.96,13.5,1,32.3,0.97,16.9,32.6,2,0.0,127,33.1,0.75,1.8,25.0,1,0.0,3,33.3
Off Ball Screens,1.23,1.9,0,37.5,1.23,2.4,37.5,4,25.0,12,41.7,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.03,6.7,7,52.8,1.03,7.7,53.2,47,53.2,0,N/A,1.0,3.1,50.0,2,100.0,4,25.0
Off. Rebounds,1.31,4.3,2,57.1,1.53,3.8,69.6,21,71.4,2,50.0,0.86,6.2,33.3,2,100.0,10,20.0
TOTAL,1.03,991,8.3,46.2,1.04,77.4,45.8,408,55.1,240,30.0,1.01,22.6,47.5,83,63.9,94,33.0
