Shot Type,ADAMS,JACKSON,CLARKE,TILLMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,12,1,10,23,8,35,22,4,0,0,1,0
shoot2FGM,7,1,4,6,4,19,16,0,0,0,1,0
shoot2FTA,8,2,6,8,2,26,10,2,0,0,0,0
shoot2FTM,7,2,5,8,2,16,8,2,0,0,0,0
shoot2TO,1,0,0,2,0,5,2,0,0,0,0,0
shoot3FGA,4,0,2,2,0,11,4,0,13,0,0,0
shoot3FGM,1,0,0,0,0,4,0,0,6,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,1,1,5,6,2,6,7,1,1,0,0,0
pass2FGM,0,1,3,5,2,5,5,0,1,0,0,0
pass2FTA,2,2,0,2,0,0,0,0,0,0,0,2
pass2FTM,1,2,0,1,0,0,0,0,0,0,0,1
pass2TO,0,0,1,0,0,1,3,0,0,0,0,0
pass3FGA,4,1,4,7,2,5,7,1,0,0,0,0
pass3FGM,2,0,2,1,2,3,2,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,0,0
