,ADAMS,JACKSON,CLARKE,TILLMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.17,1.39,1.01,0.72,1.68,1.12,1.15,0.34,1.27,N/A,N/A,N/A,1.07,1.09
% of Poss.,15.2%,2.1%,12.8%,13.4%,7.0%,36.3%,22.6%,2.7%,4.9%,0.0%,0.0%,0.0%,50.6%,328
Total FG%,47.6%,50.0%,42.9%,30.4%,72.7%,55.8%,55.6%,0.0%,45.5%,N/A,N/A,N/A,44.9%,48.9%
Shooting PPP,1.17,2.0,0.89,0.68,1.27,1.01,1.23,0.52,1.2,N/A,N/A,N/A,0.97,1.03
% of Shooting Poss.,16.4%,0.8%,11.1%,13.9%,6.1%,42.2%,22.1%,2.9%,5.7%,0.0%,0.0%,0.0%,71.1% | 52,74.4% | 132
Shooting FG%,50.0%,100.0%,33.3%,25.0%,57.1%,50.0%,60.9%,0.0%,40.0%,N/A,N/A,N/A,40.4%,46.2%
Shooting 2pt Att.,12,1,10,14,7,33,19,3,0,0,0,0,44,99
Shooting 2pt FG%,58.3%,100.0%,40.0%,28.6%,57.1%,54.5%,73.7%,0.0%,N/A,N/A,N/A,N/A,45.5%,52.5%
Shooting 3pt Att.,4,0,2,2,0,11,4,0,10,0,0,0,8,33
Shooting 3pt FG%,25.0%,N/A,0.0%,0.0%,N/A,36.4%,0.0%,N/A,40.0%,N/A,N/A,N/A,12.5%,27.3%
Passing PPP,1.19,1.06,1.2,0.86,2.5,1.78,1.0,0.0,2.0,N/A,N/A,N/A,1.29,1.26
% of Passing Poss.,11.9%,5.9%,17.8%,11.9%,9.5%,19.0%,23.8%,2.4%,2.4%,0.0%,0.0%,0.0%,28.9% | 26,25.6% | 50
Passing FG%,40.0%,0.0%,55.6%,42.9%,100.0%,87.5%,46.2%,0.0%,100.0%,N/A,N/A,N/A,53.8%,56.0%
Passing 2pt Att.,1,0,5,4,2,5,6,1,1,0,0,0,12,25
Passing 2pt FG%,0.0%,N/A,60.0%,75.0%,100.0%,100.0%,66.7%,0.0%,100.0%,N/A,N/A,N/A,66.7%,72.0%
Passing 3pt Att.,4,1,4,3,2,3,7,1,0,0,0,0,14,25
Passing 3pt FG%,50.0%,0.0%,50.0%,0.0%,100.0%,66.7%,28.6%,0.0%,N/A,N/A,N/A,N/A,42.9%,40.0%
