,MORANT,BANE,JONES,BROOKS,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.06,0.0,0.0,N/A,2.27,1.29,0.0,1.5,0.0,2.0,2.0,1.0,0.84,1.02
% of Poss.,20.0%,4.0%,4.0%,0.0%,16.0%,36.0%,4.0%,12.0%,8.0%,8.0%,8.0%,12.0%,44.0%,25
Total FG%,0.0%,0.0%,0.0%,N/A,N/A,33.3%,0.0%,50.0%,0.0%,100.0%,100.0%,50.0%,0.0%,33.3%
Shooting PPP,1.06,0.0,0.0,N/A,2.27,1.29,0.0,1.5,0.0,2.0,2.0,1.0,0.84,1.02
% of Shooting Poss.,19.4%,3.9%,3.9%,0.0%,15.6%,35.0%,3.9%,11.7%,7.8%,7.8%,7.8%,11.7%,100.0% | 3,102.9% | 15
Shooting FG%,0.0%,0.0%,0.0%,N/A,N/A,33.3%,0.0%,50.0%,0.0%,100.0%,100.0%,50.0%,0.0%,33.3%
Shooting 2pt Att.,0,0,0,0,0,3,1,1,0,1,1,1,0,8
Shooting 2pt FG%,N/A,N/A,N/A,N/A,N/A,33.3%,0.0%,0.0%,N/A,100.0%,100.0%,100.0%,nan%,50.0%
Shooting 3pt Att.,1,1,1,0,0,0,0,1,2,0,0,1,3,7
Shooting 3pt FG%,0.0%,0.0%,0.0%,N/A,N/A,N/A,N/A,100.0%,0.0%,N/A,N/A,0.0%,0.0%,14.3%
Passing PPP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,nan
% of Passing Poss.,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,0.0% | 0,0.0% | 0
Passing FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan%,nan%
Passing 2pt Att.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan%,nan%
Passing 3pt Att.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan%,nan%
