Shot Type,DAVIS,VANDERBILT,HACHIMURA,GABRIEL,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,13,0,2,0,8,66,38,17,0,0,3,0
shoot2FGM,8,0,2,0,6,36,27,9,0,0,3,0
shoot2FTA,4,0,0,0,0,10,25,0,0,0,0,0
shoot2FTM,4,0,0,0,0,9,19,1,0,0,1,0
shoot2TO,1,0,0,0,1,6,1,0,0,0,0,0
shoot3FGA,5,0,1,0,4,20,5,0,29,0,0,0
shoot3FGM,4,0,0,0,1,4,2,0,10,0,0,0
shoot3FTA,0,0,0,0,0,3,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,2,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,1,0,0,0,0,0,0
pass2FGA,3,0,1,3,2,7,10,1,0,0,0,0
pass2FGM,2,0,1,2,1,5,8,1,0,0,0,0
pass2FTA,0,0,0,0,2,0,2,0,0,0,0,0
pass2FTM,0,0,0,0,2,1,0,1,0,0,0,0
pass2TO,2,0,1,1,1,1,2,1,0,0,0,0
pass3FGA,4,0,0,1,3,18,7,0,0,0,0,0
pass3FGM,1,0,0,1,1,5,2,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,2,0,0,0,0,0,1,0,0,0,0,0
