Shot Type,POWELL,WOOD,KLEBER,MCGEE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,24,15,6,3,3,102,8,9,0,1,0,2
shoot2FGM,15,13,5,2,2,55,6,6,0,1,0,2
shoot2FTA,5,10,2,0,2,85,9,2,0,0,0,0
shoot2FTM,5,9,1,1,2,67,8,2,0,0,0,0
shoot2TO,6,2,1,0,0,6,2,1,0,0,0,0
shoot3FGA,7,6,7,2,7,41,3,3,11,1,0,0
shoot3FGM,4,2,2,0,3,14,1,0,7,0,0,0
shoot3FTA,0,0,0,0,0,6,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,4,0,0,0,0,0,0
shoot3TO,0,0,1,0,0,1,0,0,0,0,0,0
pass2FGA,8,10,0,3,4,10,6,0,0,0,0,0
pass2FGM,7,10,0,2,3,7,3,0,0,0,0,0
pass2FTA,2,4,0,2,0,2,2,0,0,0,0,0
pass2FTM,1,4,0,2,0,1,2,0,0,0,0,0
pass2TO,2,2,0,0,0,5,3,1,0,0,0,0
pass3FGA,26,9,7,4,9,49,11,2,0,1,0,0
pass3FGM,10,0,3,1,4,24,6,1,0,1,0,0
pass3FTA,0,0,0,0,0,3,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,3,0,0,0,0,0,0
pass3TO,1,0,1,0,1,3,1,0,0,0,0,0
