,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
POWELL,1.82,12.1%,0,76.5%,1.91,11.7%,0,81.8%,9,77.8%,2,100.0%,1.67,13.0%,0,66.7%,2,100.0%,4,50.0%
WOOD,0.64,7.8%,1,22.2%,1.74,3.1%,0,50.0%,1,0.0%,1,100.0%,0.25,17.4%,1,14.3%,2,50.0%,5,0.0%
MCGEE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
KLEBER,1.5,2.9%,0,50.0%,1.0,3.2%,0,33.3%,1,0.0%,2,50.0%,3.0,2.2%,0,100.0%,0,N/A,1,100.0%
OTHERS,1.88,5.7%,0,75.0%,1.8,5.3%,0,80.0%,3,100.0%,2,50.0%,2.0,6.5%,0,66.7%,1,0.0%,2,100.0%
ISO,1.1,33.2%,6,54.1%,1.19,41.0%,5,60.0%,23,69.6%,7,28.6%,0.62,17.4%,1,28.6%,2,50.0%,5,20.0%
Transition,1.44,21.3%,0,52.0%,1.52,14.0%,0,54.5%,4,50.0%,7,57.1%,1.38,36.2%,0,50.0%,4,50.0%,10,50.0%
Attacking Closeouts,0.92,3.9%,1,50.0%,1.13,4.7%,0,50.0%,4,50.0%,0,N/A,0.0,2.2%,1,N/A,0,N/A,0,N/A
Catch & Shoot,1.33,6.4%,0,44.4%,1.33,9.6%,0,44.4%,0,N/A,9,44.4%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,1.25,2.9%,0,50.0%,1.25,4.3%,0,50.0%,2,50.0%,2,50.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,2.0,1.4%,0,100.0%,2.0,1.1%,0,100.0%,1,100.0%,0,N/A,2.0,2.2%,0,100.0%,1,100.0%,0,N/A
Off. Rebounds,1.75,2.9%,0,75.0%,2.0,2.1%,0,100.0%,2,100.0%,0,N/A,1.5,4.3%,0,50.0%,1,0.0%,1,100.0%
PNR / DHO,1.51,27.9%,1,60.5%,1.81,53.8%,0,71.4%,14,71.4%,7,71.4%,1,46.2%,1,47.1%,5,60.0%,12,41.7%
TOTAL,1.32,140,8,56.1%,1.4,67.1%,5,61.0%,50,68.0%,32,50.0%,1.16,32.9%,3,46.3%,13,53.8%,28,42.9%
