,POWELL,WOOD,MCGEE,PINSON,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.73,0.71,2.0,N/A,2.0,1.34,1.22,1.0,0.82,0.0,1.33,2.0,1.24
% of Poss.,15.1%,9.6%,1.4%,0.0%,1.4%,30.1%,12.3%,6.8%,15.1%,1.4%,4.1%,2.7%,73
Total FG%,72.7%,28.6%,100.0%,N/A,100.0%,57.9%,44.4%,100.0%,27.3%,0.0%,66.7%,100.0%,53.7%
Shooting PPP,2.0,0.0,2.0,N/A,2.0,1.41,1.6,0.67,0.82,0.0,2.0,2.0,1.34
% of Shooting Poss.,14.3%,2.0%,2.0%,0.0%,2.0%,32.7%,10.2%,6.1%,22.4%,2.0%,2.0%,4.1%,67.1% | 44
Shooting FG%,85.7%,0.0%,100.0%,N/A,100.0%,61.5%,60.0%,100.0%,27.3%,0.0%,100.0%,100.0%,59.1%
Shooting 2pt Att.,6,1,1,0,1,9,2,1,0,1,1,2,25
Shooting 2pt FG%,83.3%,0.0%,100.0%,N/A,100.0%,66.7%,50.0%,100.0%,N/A,0.0%,100.0%,100.0%,72.0%
Shooting 3pt Att.,1,0,0,0,0,4,3,0,11,0,0,0,19
Shooting 3pt FG%,100.0%,N/A,N/A,N/A,N/A,50.0%,66.7%,N/A,27.3%,N/A,N/A,N/A,42.1%
Passing PPP,1.25,0.83,N/A,N/A,N/A,1.17,0.75,1.5,N/A,N/A,1.0,N/A,1.04
% of Passing Poss.,16.7%,25.0%,0.0%,0.0%,0.0%,25.0%,16.7%,8.3%,0.0%,0.0%,8.3%,0.0%,32.9% | 23
Passing FG%,50.0%,33.3%,N/A,N/A,N/A,50.0%,25.0%,100.0%,N/A,N/A,50.0%,N/A,43.5%
Passing 2pt Att.,1,1,0,0,0,4,1,0,0,0,1,0,8
Passing 2pt FG%,100.0%,100.0%,N/A,N/A,N/A,50.0%,0.0%,N/A,N/A,N/A,100.0%,N/A,62.5%
Passing 3pt Att.,3,5,0,0,0,2,3,1,0,0,1,0,15
Passing 3pt FG%,33.3%,20.0%,N/A,N/A,N/A,50.0%,33.3%,100.0%,N/A,N/A,0.0%,N/A,33.3%
