,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,0.96,29.6%,40.0%,0.79,24.0%,25.0%,5,20.0%,3,33.3%,1.08,35.1%,50.0%,5,80.0%,7,28.6%
JOHNSON,0.0,1.4%,N/A,0.0,2.7%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
SHARPE,0.0,1.4%,0.0%,0.0,2.7%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
FINNEY-SMITH,1.33,8.1%,50.0%,2.0,10.8%,75.0%,1,100.0%,3,66.7%,0.0,5.4%,0.0%,0,N/A,2,0.0%
OTHERS,0.0,1.4%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,2.7%,0.0%,0,N/A,1,0.0%
ISO,1.02,29.2%,41.2%,1.19,34.2%,44.4%,5,60.0%,4,25.0%,0.78,24.3%,37.5%,4,50.0%,4,25.0%
Transition,1.0,20.3%,42.9%,1.25,10.8%,50.0%,1,100.0%,3,33.3%,0.91,29.7%,40.0%,4,50.0%,6,33.3%
Attacking Closeouts,0.0,2.7%,0.0%,0.0,2.7%,N/A,0,N/A,0,N/A,0.0,2.7%,0.0%,0,N/A,1,0.0%
Catch & Shoot,2.25,5.4%,75.0%,2.25,10.8%,75.0%,0,N/A,4,75.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,1.4%,0.0%,0.0,2.7%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.97,40.5%,39.3%,1.07,46.7%,38.5%,6,33.3%,7,42.9%,1,53.3%,40.0%,5,80.0%,10,20.0%
TOTAL,1.01,74,41.5%,1.17,50.0%,45.2%,13,46.2%,18,44.4%,0.84,50.0%,38.2%,13,61.5%,21,23.8%
