,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,1.33,15.4%,75.0%,0.0,11.1%,0.0%,0,N/A,1,0.0%,2.0,19.0%,100.0%,1,100.0%,2,100.0%
JOHNSON,2.08,7.4%,100.0%,2.13,10.4%,100.0%,1,100.0%,0,N/A,2.0,4.8%,100.0%,1,100.0%,0,N/A
SHARPE,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
FINNEY-SMITH,1.5,5.1%,50.0%,0.0,5.6%,0.0%,0,N/A,1,0.0%,3.0,4.8%,100.0%,0,N/A,1,100.0%
OTHERS,1.02,15.1%,40.0%,2.0,5.6%,100.0%,1,100.0%,0,N/A,0.82,23.2%,25.0%,2,0.0%,2,50.0%
ISO,1.25,32.7%,45.5%,0.64,43.1%,16.7%,3,33.3%,3,0.0%,2.2,23.8%,80.0%,2,50.0%,3,100.0%
Transition,0.0,7.7%,0.0%,0.0,5.6%,0.0%,1,0.0%,0,N/A,0.0,9.5%,0.0%,0,N/A,2,0.0%
Attacking Closeouts,0.0,2.6%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,4.8%,N/A,0,N/A,0,N/A
Catch & Shoot,1.33,15.4%,50.0%,0.67,16.7%,33.3%,1,100.0%,2,0.0%,2.0,14.3%,66.7%,0,N/A,3,66.7%
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,2.6%,100.0%,2.0,5.6%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.53,38.5%,61.5%,1.2,33.3%,50.0%,2,100.0%,2,0.0%,2,66.7%,66.7%,4,50.0%,5,80.0%
TOTAL,1.21,39,50.0%,0.8,46.2%,33.3%,8,62.5%,7,0.0%,1.55,53.8%,63.2%,6,50.0%,13,69.2%
