,CLAXTON,JOHNSON,SIMMONS,DINWIDDIE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.11,2.5,2.05,N/A,N/A,1.17,1.24,1.26,1.5,1.0,2.0,2.0,1.57,1.38
% of Poss.,13.2%,3.8%,11.3%,0.0%,0.0%,17.9%,16.0%,11.3%,14.2%,6.6%,1.9%,3.8%,28.3%,106
Total FG%,71.4%,100.0%,75.0%,N/A,N/A,60.0%,50.0%,33.3%,50.0%,40.0%,100.0%,100.0%,76.9%,59.6%
Shooting PPP,1.2,2.5,2.66,N/A,N/A,1.38,1.31,1.26,1.67,1.25,2.0,2.0,1.8,1.53
% of Shooting Poss.,9.4%,4.7%,8.2%,0.0%,0.0%,16.5%,16.5%,14.1%,16.5%,7.1%,2.4%,4.7%,63.3% | 8,80.2% | 41
Shooting FG%,60.0%,100.0%,100.0%,N/A,N/A,62.5%,50.0%,33.3%,55.6%,50.0%,100.0%,100.0%,75.0%,61.0%
Shooting 2pt Att.,5,1,1,0,0,7,6,3,1,3,1,2,7,30
Shooting 2pt FG%,60.0%,100.0%,100.0%,N/A,N/A,71.4%,50.0%,33.3%,0.0%,33.3%,100.0%,100.0%,71.4%,60.0%
Shooting 3pt Att.,0,1,0,0,0,1,0,0,8,1,0,0,1,11
Shooting 3pt FG%,N/A,100.0%,N/A,N/A,N/A,0.0%,N/A,N/A,62.5%,100.0%,N/A,N/A,100.0%,63.6%
Passing PPP,1.0,N/A,1.67,N/A,N/A,0.75,1.0,N/A,0.0,0.0,N/A,N/A,1.29,0.93
% of Passing Poss.,28.6%,0.0%,23.8%,0.0%,0.0%,23.8%,14.3%,0.0%,4.8%,4.8%,0.0%,0.0%,36.7% | 5,19.8% | 11
Passing FG%,100.0%,N/A,66.7%,N/A,N/A,50.0%,50.0%,N/A,0.0%,0.0%,N/A,N/A,80.0%,54.5%
Passing 2pt Att.,2,0,2,0,0,0,2,0,0,0,0,0,4,6
Passing 2pt FG%,100.0%,N/A,50.0%,N/A,N/A,N/A,50.0%,N/A,N/A,N/A,N/A,N/A,75.0%,66.7%
Passing 3pt Att.,0,0,1,0,0,2,0,0,1,1,0,0,1,5
Passing 3pt FG%,N/A,N/A,100.0%,N/A,N/A,50.0%,N/A,N/A,0.0%,0.0%,N/A,N/A,100.0%,40.0%
