,CLAXTON,JOHNSON,SHARPE,FINNEY-SMITH,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,0.86,0.0,0.0,0.0,N/A,0.95,0.57,0.0,3.0,N/A,N/A,N/A,0.71,0.84
% of Poss.,32.8%,1.6%,1.6%,1.6%,0.0%,39.1%,14.1%,3.1%,6.2%,0.0%,0.0%,0.0%,37.5%,64
Total FG%,33.3%,N/A,0.0%,0.0%,N/A,33.3%,28.6%,0.0%,100.0%,N/A,N/A,N/A,28.6%,33.3%
Shooting PPP,0.82,0.0,0.0,N/A,N/A,1.03,0.0,0.0,3.0,N/A,N/A,N/A,0.58,0.97
% of Shooting Poss.,26.5%,2.9%,2.9%,0.0%,0.0%,50.0%,2.9%,2.9%,11.8%,0.0%,0.0%,0.0%,45.8% | 5,53.1% | 14
Shooting FG%,25.0%,N/A,0.0%,N/A,N/A,33.3%,0.0%,N/A,100.0%,N/A,N/A,N/A,20.0%,35.7%
Shooting 2pt Att.,3,0,0,0,0,3,0,0,0,0,0,0,3,6
Shooting 2pt FG%,33.3%,N/A,N/A,N/A,N/A,33.3%,N/A,N/A,N/A,N/A,N/A,N/A,33.3%,33.3%
Shooting 3pt Att.,1,0,1,0,0,3,1,0,2,0,0,0,2,8
Shooting 3pt FG%,0.0%,N/A,0.0%,N/A,N/A,33.3%,0.0%,N/A,100.0%,N/A,N/A,N/A,0.0%,37.5%
Passing PPP,0.89,N/A,N/A,0.0,N/A,0.83,0.67,0.0,N/A,N/A,N/A,N/A,0.8,0.74
% of Passing Poss.,40.0%,0.0%,0.0%,3.3%,0.0%,26.7%,26.7%,3.3%,0.0%,0.0%,0.0%,0.0%,54.2% | 9,46.9% | 22
Passing FG%,37.5%,N/A,N/A,0.0%,N/A,33.3%,33.3%,0.0%,N/A,N/A,N/A,N/A,33.3%,31.8%
Passing 2pt Att.,2,0,0,0,0,2,3,0,0,0,0,0,2,7
Passing 2pt FG%,50.0%,N/A,N/A,N/A,N/A,50.0%,66.7%,N/A,N/A,N/A,N/A,N/A,50.0%,57.1%
Passing 3pt Att.,6,0,0,1,0,4,3,1,0,0,0,0,7,15
Passing 3pt FG%,33.3%,N/A,N/A,0.0%,N/A,25.0%,0.0%,0.0%,N/A,N/A,N/A,N/A,28.6%,20.0%
