,CLAXTON,SIMMONS,BRIDGES,DINWIDDIE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.31,N/A,N/A,N/A,N/A,2.33,0.74,1.8,0.8,0.0,N/A,N/A,1.31,1.12
% of Poss.,21.3%,0.0%,0.0%,0.0%,0.0%,9.8%,21.3%,14.8%,31.1%,1.6%,0.0%,0.0%,21.3%,61
Total FG%,60.0%,N/A,N/A,N/A,N/A,100.0%,20.0%,80.0%,26.7%,0.0%,N/A,N/A,60.0%,44.1%
Shooting PPP,1.43,N/A,N/A,N/A,N/A,2.0,0.63,2.0,0.8,0.0,N/A,N/A,1.43,1.01
% of Shooting Poss.,20.8%,0.0%,0.0%,0.0%,0.0%,8.3%,20.8%,8.3%,39.6%,2.1%,0.0%,0.0%,76.9% | 4,78.7% | 27
Shooting FG%,50.0%,N/A,N/A,N/A,N/A,100.0%,0.0%,100.0%,26.7%,0.0%,N/A,N/A,50.0%,37.0%
Shooting 2pt Att.,3,0,0,0,0,2,2,2,0,0,0,0,3,9
Shooting 2pt FG%,33.3%,N/A,N/A,N/A,N/A,100.0%,0.0%,100.0%,N/A,N/A,N/A,N/A,33.3%,55.6%
Shooting 3pt Att.,1,0,0,0,0,0,1,0,15,1,0,0,1,18
Shooting 3pt FG%,100.0%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,26.7%,0.0%,N/A,N/A,100.0%,27.8%
Passing PPP,1.0,N/A,N/A,N/A,N/A,3.0,1.0,1.67,N/A,N/A,N/A,N/A,1.0,1.5
% of Passing Poss.,23.1%,0.0%,0.0%,0.0%,0.0%,15.4%,23.1%,38.5%,0.0%,0.0%,0.0%,0.0%,23.1% | 1,21.3% | 7
Passing FG%,100.0%,N/A,N/A,N/A,N/A,100.0%,50.0%,66.7%,N/A,N/A,N/A,N/A,100.0%,71.4%
Passing 2pt Att.,1,0,0,0,0,0,2,1,0,0,0,0,1,4
Passing 2pt FG%,100.0%,N/A,N/A,N/A,N/A,N/A,50.0%,100.0%,N/A,N/A,N/A,N/A,100.0%,75.0%
Passing 3pt Att.,0,0,0,0,0,1,0,2,0,0,0,0,0,3
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,50.0%,N/A,N/A,N/A,N/A,nan%,66.7%
