,CLAXTON,ONEAL,SIMMONS,FINNEY-SMITH,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,0.67,0.0,1.33,3.0,0.0,1.3,2.13,2.67,1.0,N/A,N/A,N/A,0.9,1.3
% of Poss.,7.0%,3.5%,8.8%,3.5%,1.8%,42.1%,10.5%,10.5%,12.3%,0.0%,0.0%,0.0%,24.6%,57
Total FG%,33.3%,0.0%,66.7%,100.0%,0.0%,63.6%,100.0%,100.0%,40.0%,N/A,N/A,N/A,40.0%,56.7%
Shooting PPP,0.67,0.0,1.0,3.0,0.0,1.38,2.13,2.0,1.0,N/A,N/A,N/A,0.88,1.23
% of Shooting Poss.,8.7%,2.2%,6.5%,4.3%,2.2%,43.5%,13.0%,4.3%,15.2%,0.0%,0.0%,0.0%,78.6% | 8,80.7% | 23
Shooting FG%,33.3%,0.0%,50.0%,100.0%,0.0%,75.0%,100.0%,100.0%,40.0%,N/A,N/A,N/A,37.5%,56.5%
Shooting 2pt Att.,3,1,1,0,1,6,1,1,2,0,0,0,6,16
Shooting 2pt FG%,33.3%,0.0%,100.0%,N/A,0.0%,83.3%,100.0%,100.0%,50.0%,N/A,N/A,N/A,33.3%,62.5%
Shooting 3pt Att.,0,0,1,1,0,2,0,0,3,0,0,0,2,7
Shooting 3pt FG%,N/A,N/A,0.0%,100.0%,N/A,50.0%,N/A,N/A,33.3%,N/A,N/A,N/A,50.0%,42.9%
Passing PPP,N/A,0.0,2.0,N/A,N/A,1.0,N/A,3.0,N/A,N/A,N/A,N/A,1.0,1.57
% of Passing Poss.,0.0%,9.1%,18.2%,0.0%,0.0%,36.4%,0.0%,36.4%,0.0%,0.0%,0.0%,0.0%,21.4% | 2,19.3% | 7
Passing FG%,N/A,0.0%,100.0%,N/A,N/A,33.3%,N/A,100.0%,N/A,N/A,N/A,N/A,50.0%,57.1%
Passing 2pt Att.,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Passing 2pt FG%,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%
Passing 3pt Att.,0,1,0,0,0,3,0,2,0,0,0,0,1,6
Passing 3pt FG%,N/A,0.0%,N/A,N/A,N/A,33.3%,N/A,100.0%,N/A,N/A,N/A,N/A,0.0%,50.0%
