Shot Type,JOKIC,GORDON,JORDAN,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,74,9,9,6,3,88,20,16,0,3,0,0
shoot2FGM,41,5,8,2,2,46,15,5,0,2,0,0
shoot2FTA,18,2,2,6,0,23,2,4,0,0,0,0
shoot2FTM,17,1,0,6,0,21,2,4,0,0,0,0
shoot2TO,2,3,2,0,0,4,1,0,0,0,0,0
shoot3FGA,24,3,5,2,5,25,13,0,32,11,0,0
shoot3FGM,9,1,2,1,4,13,5,0,15,6,0,0
shoot3FTA,3,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,1,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,1,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,22,1,1,3,0,14,8,0,0,0,0,0
pass2FGM,17,1,0,3,0,6,8,0,0,0,0,0
pass2FTA,4,2,0,2,2,4,0,0,0,0,0,0
pass2FTM,4,2,0,2,2,1,0,0,0,0,0,0
pass2TO,3,0,1,0,0,2,4,2,0,0,0,0
pass3FGA,15,2,5,6,3,7,5,0,2,1,2,0
pass3FGM,8,0,1,2,0,4,2,0,0,1,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,0,0
