Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,5,1,1,0,1,0,6,8,6,0,0,5,0
shoot2FGM,2,1,1,0,0,0,4,6,4,0,0,1,0
shoot2FTA,8,0,0,0,0,0,1,2,0,0,0,2,2
shoot2FTM,5,0,0,0,0,0,0,2,0,0,0,2,2
shoot2TO,2,0,0,0,0,0,1,0,0,0,0,0,0
shoot3FGA,1,0,0,0,0,0,0,0,0,6,1,0,0
shoot3FGM,0,0,0,0,0,0,0,0,0,1,1,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,2,0,0,0,0,0,1,3,1,0,0,0,0
pass2FGM,2,0,0,0,0,0,1,3,1,0,0,0,0
pass2FTA,2,0,0,0,0,0,0,1,0,0,0,0,0
pass2FTM,2,0,0,0,0,0,0,1,0,0,0,0,0
pass2TO,2,0,0,0,0,0,1,0,0,0,0,0,0
pass3FGA,4,0,0,0,0,0,1,2,0,2,0,0,0
pass3FGM,2,0,0,0,0,0,0,2,0,1,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,1,0,0,0,0,0,0
