Shot Type,MURRAY,KCP,PORTER,BROWN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,15,4,0,2,6,34,5,3,3,1,5,14
shoot2FGM,12,3,0,2,2,19,4,2,3,1,3,12
shoot2FTA,0,0,0,0,0,10,6,2,0,0,0,14
shoot2FTM,0,1,0,0,0,12,5,2,0,0,0,12
shoot2TO,0,0,0,0,0,6,0,4,0,0,0,2
shoot3FGA,0,0,0,0,0,2,1,0,4,0,0,0
shoot3FGM,0,0,0,0,0,2,0,0,2,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,1,0,0,0,0,0,0,0,0,0
pass2FGA,2,6,2,0,2,16,9,3,0,1,1,5
pass2FGM,2,6,2,0,2,14,8,0,0,1,1,4
pass2FTA,2,0,0,0,0,4,4,0,0,0,0,0
pass2FTM,1,0,0,0,2,4,4,0,0,0,0,0
pass2TO,4,0,0,0,3,8,1,0,0,0,0,0
pass3FGA,4,4,2,1,0,37,11,0,0,0,1,0
pass3FGM,4,3,0,1,0,16,4,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,0,0
