Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,3,0,4,0,0,0,4,6,10,0,10,10,12
shoot2FGM,1,0,0,0,0,0,3,3,5,0,1,9,9
shoot2FTA,0,0,0,0,0,0,0,4,3,0,0,4,1
shoot2FTM,0,0,0,0,0,0,0,3,2,0,0,4,1
shoot2TO,0,0,0,0,0,0,3,1,2,0,0,1,0
shoot3FGA,1,1,10,0,0,1,1,9,4,46,7,1,0
shoot3FGM,1,0,3,0,0,1,1,6,3,19,3,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,0,0,0,0,0,0,1,3,0,2,0,0,0
pass2FGM,0,0,0,0,0,0,1,3,0,2,0,0,0
pass2FTA,0,0,0,0,0,0,0,1,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,0,1,0,0,0,0,0
pass2TO,0,0,0,0,0,0,1,1,1,0,0,0,0
pass3FGA,0,1,1,0,0,0,0,2,1,5,1,0,0
pass3FGM,0,0,0,0,0,0,0,1,1,2,1,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,1,1,0,1,0,0
