Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,22,0,14,0,5,0,26,7,5,0,5,0,1
shoot2FGM,11,0,7,0,4,0,10,5,3,0,0,0,1
shoot2FTA,6,0,2,0,0,0,4,0,2,0,4,0,0
shoot2FTM,5,0,2,0,0,0,2,0,2,0,4,0,0
shoot2TO,3,1,1,0,0,0,1,0,0,0,0,0,0
shoot3FGA,11,1,8,0,5,0,7,7,1,16,6,0,0
shoot3FGM,5,1,4,0,4,0,1,1,1,11,2,0,0
shoot3FTA,0,0,0,0,3,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,3,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,1,0,0,0,0,0,0
pass2FGA,24,0,2,0,4,0,13,21,0,0,0,0,1
pass2FGM,17,0,1,0,2,0,9,16,0,0,0,0,1
pass2FTA,7,0,3,0,0,0,0,2,2,0,0,0,1
pass2FTM,6,0,3,0,0,0,0,1,1,0,0,0,0
pass2TO,5,0,1,0,1,0,1,2,0,0,0,0,0
pass3FGA,19,0,5,0,6,0,8,13,1,1,1,0,1
pass3FGM,4,0,3,0,3,0,3,4,1,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,2,0,1,0,1,0,3,1,0,0,0,0,0
