Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,18,0,1,0,0,0,2,19,1,0,1,4,0
shoot2FGM,12,0,0,0,0,0,2,11,1,0,1,3,0
shoot2FTA,4,2,0,0,0,0,2,5,1,0,0,4,2
shoot2FTM,4,1,0,0,0,0,2,4,1,0,0,3,2
shoot2TO,2,0,0,0,1,0,1,1,0,0,0,2,0
shoot3FGA,1,0,1,0,0,0,2,0,0,12,1,0,0
shoot3FGM,0,0,0,0,0,0,1,0,0,3,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,1,0,0
pass2FGA,5,0,1,0,1,0,1,7,1,0,0,0,0
pass2FGM,2,0,0,0,1,0,0,6,1,0,0,0,0
pass2FTA,0,0,0,0,2,0,0,0,0,0,0,0,0
pass2FTM,0,0,0,0,2,0,0,0,0,0,0,0,0
pass2TO,0,0,0,0,0,0,4,0,0,0,0,0,0
pass3FGA,7,0,1,0,0,0,1,3,1,0,0,1,1
pass3FGM,3,0,0,0,0,0,0,1,1,0,0,0,1
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,1,0,0,0,0,0,0,0,0,0,0,0,0
