Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,33,22,5,5,3,1,105,76,51,2,5,40,15
shoot2FGM,19,15,2,5,0,1,42,63,27,0,2,21,11
shoot2FTA,4,14,1,0,2,0,25,36,10,0,6,12,9
shoot2FTM,4,13,1,0,1,0,23,24,9,0,6,9,9
shoot2TO,2,1,0,0,0,0,5,13,5,0,0,6,1
shoot3FGA,21,19,8,0,0,4,20,22,10,101,11,0,2
shoot3FGM,8,3,0,0,0,1,3,8,4,30,5,0,1
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,9,3,0,0,0,0,1,0,0,0,0,0,0
pass2FGA,13,2,3,4,2,0,15,17,5,1,0,2,5
pass2FGM,7,0,3,3,1,0,13,14,1,0,0,2,2
pass2FTA,2,0,0,1,0,0,3,7,0,0,0,0,2
pass2FTM,1,0,0,1,0,0,3,4,0,0,0,0,2
pass2TO,3,0,0,0,1,0,2,5,1,0,0,1,0
pass3FGA,18,4,4,4,4,0,12,13,6,3,0,2,8
pass3FGM,6,3,2,0,1,0,2,5,3,1,0,0,2
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,1,0,0,1,0,0,5,1,3,0,0,1,2
