Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,74,17,30,8,4,2,97,70,19,2,15,47,30
shoot2FGM,39,9,14,3,2,2,54,45,8,1,7,30,18
shoot2FTA,17,12,6,2,2,2,36,29,12,0,18,14,8
shoot2FTM,16,9,5,2,1,2,29,24,10,0,13,12,7
shoot2TO,5,1,3,0,2,0,12,8,2,0,4,3,0
shoot3FGA,26,10,17,2,0,2,32,26,6,99,13,0,1
shoot3FGM,14,6,8,0,0,1,13,10,2,30,7,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,2,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,1,0,0
shoot3TO,2,0,0,0,0,0,2,0,1,0,1,0,0
pass2FGA,22,7,9,25,3,0,49,40,4,0,2,1,2
pass2FGM,12,7,4,14,3,0,32,32,1,0,1,1,0
pass2FTA,14,0,2,8,2,0,23,18,0,0,0,0,2
pass2FTM,10,0,2,6,2,0,19,15,0,0,0,0,2
pass2TO,3,7,0,1,0,0,8,4,1,0,1,1,1
pass3FGA,24,3,6,17,2,0,48,40,8,1,3,4,5
pass3FGM,10,1,1,9,1,0,18,13,2,1,0,2,3
pass3FTA,1,0,0,0,0,0,1,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,1,0,0,0,0,0,0
pass3TO,2,0,2,0,0,0,4,1,0,0,1,1,0
