Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,13,2,7,2,0,0,27,25,8,2,3,9,12
shoot2FGM,7,1,2,0,0,0,16,17,2,2,2,5,6
shoot2FTA,4,0,0,2,2,0,10,13,2,0,0,0,6
shoot2FTM,4,0,0,2,2,0,8,10,2,0,0,0,4
shoot2TO,0,0,0,0,0,0,1,0,2,0,0,1,0
shoot3FGA,10,1,9,0,0,1,4,7,1,31,4,0,0
shoot3FGM,5,0,5,0,0,1,2,3,0,11,2,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,1,0,0,0,0,0
pass2FGA,3,0,2,8,0,0,16,15,0,0,1,1,1
pass2FGM,1,0,0,2,0,0,10,11,0,0,1,0,0
pass2FTA,0,0,2,0,0,0,4,4,0,0,0,0,0
pass2FTM,0,0,2,0,0,0,4,2,0,0,0,0,0
pass2TO,3,1,0,0,0,0,3,2,0,0,1,0,0
pass3FGA,4,1,3,9,1,0,15,16,1,1,0,1,2
pass3FGM,2,0,1,5,1,0,5,6,1,0,0,0,2
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,1,0,0,0,3,3,0,0,0,0,0
