,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,2.08,7.4%,0,100.0%,2.13,5.9%,100.0%,1,100.0%,0,N/A,2.0,14.3%,100.0%,1,100.0%,0,N/A
MURRAY,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,0.0,2.6%,0,0.0%,0.0,3.1%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.5,20.5%,1,28.6%,0.0,15.6%,0.0%,3,0.0%,2,0.0%,1.33,42.9%,100.0%,2,100.0%,0,N/A
Transition,1.68,12.2%,0,66.7%,2.17,8.6%,100.0%,1,100.0%,0,N/A,1.0,28.6%,50.0%,1,100.0%,1,0.0%
Attacking Closeouts,2.08,3.7%,0,100.0%,2.08,4.5%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.34,19.1%,0,42.9%,1.34,23.2%,42.9%,0,N/A,7,42.9%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,1.06,4.8%,0,0.0%,1.06,5.9%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,2.03,17.6%,0,100.0%,2.04,18.4%,100.0%,5,100.0%,0,N/A,2.0,14.3%,100.0%,1,100.0%,0,N/A
Off. Rebounds,1.84,12.5%,0,100.0%,1.84,15.2%,100.0%,4,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,2.0,7.7%,0,66.7%,2.0,66.7%,50.0%,2,50.0%,0,N/A,2,33.3%,100.0%,1,100.0%,0,N/A
TOTAL,1.43,39,2.6%,62.5%,1.43,82.1%,57.7%,16,75.0%,10,30.0%,1.43,17.9%,83.3%,5,100.0%,1,0.0%
