,MURRAY,KCP,PORTER,BROWN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.5,1.67,0.0,2.5,0.5,1.27,1.56,1.33,1.33,2.0,2.0,1.06,1.32
% of Poss.,4.7%,3.5%,3.5%,2.4%,4.7%,51.8%,14.1%,3.5%,3.5%,2.4%,2.4%,3.5%,85
Total FG%,100.0%,66.7%,0.0%,100.0%,33.3%,61.8%,70.0%,66.7%,66.7%,100.0%,100.0%,0.0%,64.7%
Shooting PPP,2.0,1.67,0.0,2.0,0.67,1.51,1.6,2.0,1.33,2.0,2.0,2.27,1.53
% of Shooting Poss.,7.9%,7.9%,2.6%,2.6%,7.9%,39.5%,7.9%,5.3%,7.9%,2.6%,2.6%,5.3%,44.7% | 29
Shooting FG%,100.0%,66.7%,N/A,100.0%,33.3%,81.8%,100.0%,100.0%,66.7%,100.0%,100.0%,N/A,79.3%
Shooting 2pt Att.,3,3,0,1,3,11,1,2,2,1,1,0,28
Shooting 2pt FG%,100.0%,66.7%,N/A,100.0%,33.3%,81.8%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,82.1%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,1,0,0,0,1
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,0.0%
Passing PPP,0.0,N/A,0.0,3.0,0.0,1.15,1.56,0.0,N/A,2.0,2.0,0.0,1.16
% of Passing Poss.,2.1%,0.0%,4.3%,2.1%,2.1%,61.7%,19.1%,2.1%,0.0%,2.1%,2.1%,2.1%,55.3% | 39
Passing FG%,N/A,N/A,0.0%,100.0%,N/A,52.2%,66.7%,0.0%,N/A,100.0%,100.0%,0.0%,53.8%
Passing 2pt Att.,0,0,0,0,0,8,5,1,0,1,1,1,17
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,75.0%,80.0%,0.0%,N/A,100.0%,100.0%,0.0%,70.6%
Passing 3pt Att.,0,0,2,1,0,15,4,0,0,0,0,0,22
Passing 3pt FG%,N/A,N/A,0.0%,100.0%,N/A,40.0%,50.0%,N/A,N/A,N/A,N/A,N/A,40.9%
