,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,1.55,18.4%,0,65.2%,1.4,15.0%,66.7%,12,66.7%,0,N/A,1.73,25.0%,63.6%,5,60.0%,6,66.7%
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,0.0,1.5%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,4.5%,0.0%,0,N/A,1,0.0%
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,1.06,1.4%,0,0.0%,2.27,1.0%,N/A,0,N/A,0,N/A,0.0,2.3%,0.0%,0,N/A,1,0.0%
ISO,0.9,7.7%,3,57.1%,0.0,2.3%,0.0%,1,0.0%,1,0.0%,1.12,18.2%,80.0%,3,100.0%,2,50.0%
Transition,1.16,25.8%,5,56.0%,1.03,19.2%,45.5%,4,100.0%,7,14.3%,1.29,38.6%,64.3%,8,75.0%,6,50.0%
Attacking Closeouts,1.34,13.8%,2,60.0%,1.39,18.5%,61.5%,9,55.6%,4,75.0%,1.0,4.5%,50.0%,2,50.0%,0,N/A
Catch & Shoot,1.24,22.3%,0,41.4%,1.24,33.7%,41.4%,0,N/A,29,41.4%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,1.5,4.1%,1,66.7%,1.85,5.0%,66.7%,2,50.0%,1,100.0%,0.0,2.3%,N/A,0,N/A,0,N/A
Cutting,1.43,3.8%,0,75.0%,1.29,4.5%,66.7%,3,66.7%,0,N/A,2.0,2.3%,100.0%,1,100.0%,0,N/A
Off. Rebounds,1.0,1.5%,0,50.0%,2.0,1.2%,100.0%,1,100.0%,0,N/A,0.0,2.3%,0.0%,0,N/A,1,0.0%
PNR / DHO,1.44,20.8%,1,60.0%,1.54,48.1%,66.7%,12,66.7%,0,N/A,1,51.9%,53.8%,5,60.0%,8,50.0%
TOTAL,1.26,130,9.2%,54.5%,1.27,66.2%,51.4%,32,65.6%,42,40.5%,1.23,33.8%,61.1%,19,73.7%,17,47.1%
