,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.0,1.4,0,0.0,0.0,1.7,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,1.09,15.3,0,45.5,1.09,18.3,45.5,6,50.0,5,40.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.4,8.9,0,66.7,1.65,9.1,80.0,4,100.0,1,0.0,0.0,8.3,0.0,0,N/A,1,0.0
TRANSITION,0.9,26.2,0,33.3,0.83,18.1,30.0,5,20.0,5,40.0,1.0,66.7,37.5,1,100.0,7,28.6
Attacking Closeouts,1.02,10.9,0,42.9,1.36,9.8,60.0,2,100.0,3,33.3,0.0,16.7,0.0,2,0.0,0,N/A
Catch & Shoot,1.2,13.9,0,40.0,1.2,16.7,40.0,0,N/A,10,40.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.25,17.7,0,45.5,1.36,19.6,50.0,5,40.0,5,60.0,0.0,8.3,0.0,1,0.0,0,N/A
Cutting,1.33,4.2,0,66.7,1.33,5.0,66.7,3,66.7,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,2.8,0,100.0,2.0,3.3,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.12,72,0.0,44.9,1.21,83.3,49.1,28,57.1,29,41.4,0.67,16.7,25.0,4,25.0,8,25.0
