,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.0,4.2,0,0.0,0.0,5.3,0.0,2,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,0.0,2.1,1,N/A,N/A,0.0,N/A,0,N/A,0,N/A,0.0,10.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.69,6.0,0,0.0,1.06,4.9,0.0,0,N/A,1,0.0,0.0,10.0,0.0,1,0.0,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.19,33.3,1,53.3,1.18,28.9,54.5,9,55.6,2,50.0,1.2,50.0,50.0,1,0.0,3,66.7
TRANSITION,1.21,22.4,2,71.4,1.48,23.1,100.0,5,100.0,0,N/A,0.0,20.0,0.0,1,0.0,1,0.0
Attacking Closeouts,2.27,1.8,0,N/A,2.27,2.3,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,1.29,14.6,0,42.9,1.29,18.4,42.9,0,N/A,7,42.9,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.14,1.8,0,N/A,1.14,2.3,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.33,6.2,0,66.7,1.33,7.9,66.7,3,66.7,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.03,8.1,0,33.3,1.39,7.6,50.0,2,50.0,0,N/A,0.0,10.0,0.0,1,0.0,0,N/A
TOTAL,1.12,48,8.3,48.7,1.25,79.2,54.8,21,61.9,10,40.0,0.6,20.8,25.0,4,0.0,4,50.0
