,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,1.74,18.0,0,50.0,1.74,22.2,50.0,0,N/A,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.33,18.8,0,66.7,2.0,7.7,100.0,1,100.0,0,N/A,1.0,66.7,50.0,1,100.0,1,0.0
TRANSITION,0.0,12.5,1,0.0,0.0,7.7,N/A,0,N/A,0,N/A,0.0,33.3,0.0,0,N/A,1,0.0
Attacking Closeouts,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,0.75,25.0,0,25.0,0.75,30.8,25.0,0,N/A,4,25.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.0,12.5,0,50.0,1.0,15.4,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.67,18.8,0,33.3,0.67,23.1,33.3,3,33.3,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.95,16,6.2,40.0,1.01,81.2,41.7,6,50.0,6,33.3,0.67,18.8,33.3,1,100.0,2,0.0
