,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,2.0,2.9,0,100.0,2.0,3.8,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,1.2,14.3,0,40.0,1.5,15.4,50.0,1,0.0,3,66.7,0.0,11.1,0.0,0,N/A,1,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,2.0,14.3,0,80.0,1.75,15.4,75.0,3,66.7,1,100.0,3.0,11.1,100.0,0,N/A,1,100.0
TRANSITION,1.05,35.5,1,45.5,1.48,28.6,57.1,4,50.0,3,66.7,0.4,55.6,25.0,1,100.0,3,0.0
Attacking Closeouts,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,0.5,17.1,0,16.7,0.5,23.1,16.7,0,N/A,6,16.7,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.75,11.4,1,33.3,1.0,11.5,50.0,0,N/A,2,50.0,0.0,11.1,0.0,0,N/A,1,0.0
Cutting,2.46,7.0,0,100.0,2.08,5.5,100.0,1,100.0,0,N/A,3.0,11.1,100.0,0,N/A,1,100.0
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.2,35,5.7,48.5,1.3,74.3,52.0,10,60.0,15,46.7,0.89,25.7,37.5,1,100.0,7,28.6
