,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.01,16.2,8,46.2,1.17,15.7,54.9,35,54.3,16,56.2,0.73,17.3,29.6,13,38.5,14,21.4
PNR Screener,1.14,4.3,3,57.9,1.13,4.7,46.7,11,45.5,4,50.0,1.14,3.7,100.0,4,100.0,0,N/A
DHO Ball Handler,0.98,7.5,3,43.2,1.04,9.4,46.7,19,52.6,11,36.4,0.71,3.7,28.6,5,20.0,2,50.0
DHO Screener,1.07,6.1,1,45.2,0.5,1.1,25.0,4,25.0,0,N/A,1.14,16.1,48.1,17,52.9,10,40.0
DBL Ball Handler,1.57,1.2,1,83.3,1.0,0.5,100.0,1,100.0,0,N/A,1.8,2.6,80.0,3,100.0,2,50.0
DBL Screener,1.75,0.7,0,75.0,1.75,1.1,75.0,2,100.0,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.19,23.0,12,54.8,1.18,21.3,56.7,44,61.4,16,43.8,1.2,26.4,52.3,23,69.6,21,33.3
TRANSITION,1.35,17.5,5,62.9,1.27,14.8,60.0,37,67.6,13,38.5,1.45,22.8,66.7,20,85.0,19,47.4
Attacking Closeouts,0.96,3.5,3,46.7,0.84,4.4,38.5,9,33.3,4,50.0,1.67,1.6,100.0,1,100.0,1,100.0
Catch & Shoot,0.96,8.1,0,32.6,0.91,11.9,31.1,2,50.0,43,30.2,3.0,0.5,100.0,0,N/A,1,100.0
Off Ball Screens,1.21,3.8,3,50.0,1.34,5.1,53.8,6,50.0,7,57.1,0.0,1.1,0.0,0,N/A,1,0.0
Cutting,1.26,4.9,2,64.0,1.21,6.6,60.9,23,60.9,0,N/A,1.67,1.6,100.0,1,100.0,1,100.0
Off. Rebounds,1.16,3.3,1,55.6,1.14,3.7,57.1,14,57.1,0,N/A,1.2,2.6,50.0,1,0.0,3,66.7
TOTAL,1.15,568,7.4,52.1,1.13,66.5,51.4,207,57.5,116,40.5,1.17,33.5,53.4,88,64.8,75,40.0
