,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.19,13.9,13,52.4,1.21,13.1,52.9,88,53.4,31,51.6,1.17,15.3,51.4,36,61.1,36,41.7
PNR Screener,1.26,4.7,10,62.1,1.37,4.7,58.5,29,58.6,12,58.3,1.06,4.7,70.6,10,90.0,7,42.9
DHO Ball Handler,0.94,6.3,8,42.5,1.04,7.1,44.8,42,50.0,25,36.0,0.67,4.7,35.0,12,41.7,8,25.0
DHO Screener,1.12,5.1,1,46.7,0.87,1.4,35.7,11,36.4,3,33.3,1.17,11.8,49.2,36,55.6,25,40.0
DBL Ball Handler,1.16,0.9,2,60.0,0.73,0.7,50.0,4,50.0,0,N/A,1.6,1.2,66.7,4,75.0,2,50.0
DBL Screener,1.31,0.4,1,60.0,1.53,0.6,60.0,3,66.7,2,50.0,0.0,0.2,N/A,0,N/A,0,N/A
ISOLATION,1.13,25.4,39,52.9,1.09,21.8,50.8,149,53.7,36,38.9,1.19,32.0,55.6,78,67.9,64,40.6
TRANSITION,1.36,17.4,16,60.0,1.35,15.3,60.2,93,66.7,35,42.9,1.38,21.4,59.8,52,76.9,50,42.0
Attacking Closeouts,0.9,3.8,6,39.6,0.93,4.2,40.6,25,44.0,7,28.6,0.82,3.0,37.5,7,57.1,9,22.2
Catch & Shoot,1.03,8.6,0,34.8,1.01,13.0,33.8,2,50.0,134,33.6,2.5,0.4,100.0,1,100.0,1,100.0
Off Ball Screens,1.09,3.8,8,48.8,1.21,5.0,52.6,22,54.5,16,50.0,0.25,1.4,20.0,2,50.0,3,0.0
Cutting,1.27,6.3,7,64.6,1.32,8.7,65.3,75,65.3,0,N/A,0.91,2.0,57.1,2,100.0,5,40.0
Off. Rebounds,1.23,3.7,1,56.6,1.31,4.5,62.8,42,64.3,1,0.0,0.93,2.1,30.0,2,0.0,8,37.5
TOTAL,1.17,1608,7.0,51.9,1.17,64.9,51.1,585,57.3,302,39.1,1.17,35.1,53.5,242,66.1,218,39.4
