,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.44,35.3,2,59.1,1.63,37.8,62.5,7,71.4,9,55.6,1.0,30.8,50.0,2,50.0,4,50.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,1.62,13.5,0,55.6,2.33,12.8,83.3,1,100.0,5,80.0,0.52,14.9,0.0,1,0.0,2,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.09,17.6,0,50.0,1.25,17.0,62.5,7,71.4,1,0.0,0.82,18.8,25.0,1,100.0,3,0.0
TRANSITION,1.16,22.5,1,54.5,1.29,18.1,40.0,3,66.7,2,0.0,1.02,30.3,66.7,4,100.0,2,0.0
Attacking Closeouts,0.0,2.7,0,0.0,0.0,4.3,0.0,2,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,0.5,8.2,0,16.7,0.6,10.6,20.0,0,N/A,5,20.0,0.0,3.8,0.0,0,N/A,1,0.0
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.0,1.4,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,3.8,0.0,0,N/A,1,0.0
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.2,73,4.1,49.2,1.42,64.4,54.8,20,65.0,22,45.5,0.83,35.6,38.1,8,75.0,13,15.4
