,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.69,10.7%,0,0.0%,0.69,15.2%,0.0%,1,0.0%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
PNR Screener,0.0,3.7%,1,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,12.5%,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DHO Screener,2.0,3.7%,0,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.0,12.5%,100.0%,1,100.0%,0,N/A
DBL Ball Handler,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DBL Screener,3.0,3.7%,0,100.0%,3.0,5.3%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
ISOLATION,0.0,7.4%,0,0.0%,0.0,5.3%,0.0%,0,N/A,1,0.0%,0.0,12.5%,0.0%,0,N/A,1,0.0%
TRANSITION,1.0,14.8%,0,50.0%,1.33,15.8%,66.7%,3,66.7%,0,N/A,0.0,12.5%,0.0%,0,N/A,1,0.0%
Attacking Closeouts,0.67,22.2%,0,33.3%,1.0,21.1%,50.0%,4,50.0%,0,N/A,0.0,25.0%,0.0%,1,0.0%,1,0.0%
Catch & Shoot,0.86,25.9%,0,28.6%,0.5,31.6%,16.7%,0,N/A,6,16.7%,3.0,12.5%,100.0%,0,N/A,1,100.0%
Off Ball Screens,0.0,7.4%,0,0.0%,0.0,10.5%,0.0%,0,N/A,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,3.0,3.7%,0,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,12.5%,100.0%,0,N/A,1,100.0%
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,0.86,27,3.7%,34.6%,0.8,70.4%,31.6%,8,50.0%,11,18.2%,1.0,29.6%,42.9%,2,50.0%,5,40.0%
