,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,1.47,11.5%,1,71.4%,1.43,7.5%,0,71.4%,7,71.4%,0,N/A,1.5,21.6%,1,71.4%,3,100.0%,4,50.0%
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BRYANT,0.58,14.6%,0,26.3%,0.31,14.0%,0,15.4%,11,18.2%,2,0.0%,1.17,16.2%,0,50.0%,4,50.0%,2,50.0%
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,0.0,2.3%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,8.1%,1,0.0%,1,0.0%,1,0.0%
ISO,1.09,5.6%,1,60.0%,1.29,5.8%,0,60.0%,4,75.0%,1,0.0%,0.53,5.1%,1,N/A,0,N/A,0,N/A
Transition,1.43,23.1%,2,64.0%,1.36,19.7%,1,68.8%,15,73.3%,1,0.0%,1.53,31.8%,1,55.6%,1,0.0%,8,62.5%
Attacking Closeouts,0.45,8.5%,1,20.0%,0.25,8.6%,1,14.3%,7,14.3%,0,N/A,1.0,8.1%,0,33.3%,1,0.0%,2,50.0%
Catch & Shoot,1.0,20.8%,0,33.3%,1.0,29.0%,0,33.3%,0,N/A,27,33.3%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,1.33,2.3%,0,66.7%,1.33,3.2%,0,66.7%,2,100.0%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,1.27,6.1%,1,66.7%,1.45,7.4%,1,80.0%,5,80.0%,0,N/A,0.0,2.7%,0,0.0%,0,N/A,1,0.0%
Off. Rebounds,1.29,6.0%,0,50.0%,1.02,5.2%,0,50.0%,4,50.0%,0,N/A,1.74,7.8%,0,50.0%,0,N/A,2,50.0%
PNR / DHO,0.89,28.5%,2,42.9%,0.7,54.1%,0,35.0%,18,38.9%,2,0.0%,1,45.9%,2,53.3%,8,62.5%,7,42.9%
TOTAL,1.07,130,7,46.2%,1.01,71.5%,3,44.8%,55,54.5%,32,28.1%,1.23,28.5%,4,50.0%,10,50.0%,20,50.0%
