,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.65,6.1,0,77.8,1.34,6.3,71.4,6,83.3,1,0.0,2.43,5.5,100.0,0,N/A,2,100.0
PNR Screener,1.37,5.2,0,57.1,1.37,7.4,57.1,7,57.1,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,1.8,0,0.0,0.0,1.7,0.0,0,N/A,2,0.0,0.0,1.9,0.0,0,N/A,1,0.0
DHO Screener,1.67,1.8,0,66.7,N/A,0.0,N/A,0,N/A,0,N/A,1.67,5.8,66.7,1,100.0,2,50.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,0.0,0.6,0,0.0,0.0,0.8,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.01,29.6,4,50.0,0.76,29.1,38.5,23,39.1,3,33.3,1.55,30.9,75.0,9,88.9,3,33.3
TRANSITION,1.33,20.0,3,63.0,1.21,13.4,61.5,13,61.5,0,N/A,1.43,35.0,64.3,8,62.5,6,66.7
Attacking Closeouts,2.06,2.3,0,100.0,1.6,1.6,100.0,1,100.0,0,N/A,2.5,3.8,100.0,1,100.0,1,100.0
Catch & Shoot,0.57,8.2,0,21.4,0.5,10.2,16.7,0,N/A,12,16.7,1.0,3.8,50.0,1,100.0,1,0.0
Off Ball Screens,1.33,1.8,0,66.7,1.33,2.5,66.7,3,66.7,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.57,13.1,0,81.0,1.57,18.9,81.0,21,81.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.96,9.8,0,50.0,1.24,8.2,71.4,7,71.4,0,N/A,0.57,13.5,28.6,2,100.0,5,0.0
TOTAL,1.18,170,4.1,56.6,1.08,69.4,54.0,82,62.2,18,16.7,1.42,30.6,62.8,22,81.8,21,42.9
