,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,1.27,14.3,1,50.0,1.36,14.3,40.0,1,0.0,4,50.0,1.0,14.3,100.0,1,100.0,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.67,5.5,0,33.3,0.0,2.4,0.0,1,0.0,0,N/A,1.0,14.3,50.0,1,100.0,1,0.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,1.0,3.6,0,50.0,1.0,4.9,50.0,1,100.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.25,19.0,1,66.7,1.13,10.8,66.7,3,66.7,0,N/A,1.33,42.9,66.7,4,100.0,2,0.0
TRANSITION,1.43,12.7,2,80.0,0.67,7.3,100.0,1,100.0,0,N/A,2.0,28.6,75.0,1,100.0,3,66.7
Attacking Closeouts,0.67,5.5,1,50.0,0.67,7.3,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,0.5,21.8,0,16.7,0.5,29.3,16.7,0,N/A,12,16.7,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,1.6,0,N/A,0.0,2.1,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.0,10.9,0,50.0,1.0,14.6,50.0,6,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.67,5.5,0,33.3,0.67,7.3,33.3,3,33.3,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.96,55,9.1,45.8,0.8,74.5,37.1,18,50.0,17,23.5,1.43,25.5,69.2,7,100.0,6,33.3
