,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,0.0,3.2%,1,0.0%,0.0,3.3%,0,0.0%,2,0.0%,0,N/A,0.0,2.9%,1,N/A,0,N/A,0,N/A
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BRYANT,0.68,32.7%,3,30.8%,0.7,26.3%,1,30.8%,13,30.8%,0,N/A,0.67,44.1%,2,30.8%,6,33.3%,7,28.6%
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,0.82,5.2%,1,33.3%,1.0,5.0%,1,50.0%,1,0.0%,1,100.0%,0.53,5.5%,0,0.0%,1,0.0%,0,N/A
ISO,1.5,14.9%,0,57.1%,0.89,15.0%,0,33.3%,4,25.0%,5,40.0%,2.6,14.7%,0,100.0%,2,100.0%,3,100.0%
Transition,1.42,12.8%,3,88.9%,1.25,6.7%,1,66.7%,1,100.0%,2,50.0%,1.5,23.5%,2,100.0%,6,100.0%,0,N/A
Attacking Closeouts,1.33,6.4%,0,50.0%,1.0,5.0%,0,33.3%,1,0.0%,2,50.0%,1.67,8.8%,0,66.7%,2,50.0%,1,100.0%
Catch & Shoot,0.88,25.5%,0,29.2%,0.78,38.3%,0,26.1%,0,N/A,23,26.1%,3.0,2.9%,0,100.0%,0,N/A,1,100.0%
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,1.1%,0,100.0%,2.0,1.7%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,0.68,39.4%,5,29.0%,0.7,54.1%,2,29.4%,16,25.0%,1,100.0%,1,45.9%,3,28.6%,7,28.6%,7,28.6%
TOTAL,0.98,94,8,42.4%,0.82,63.8%,3,32.1%,23,30.4%,33,33.3%,1.26,36.2%,5,62.1%,17,64.7%,12,58.3%
