,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MURRAY,1.58,10.2%,85.7%,1.6,11.9%,80.0%,15,80.0%,0,N/A,1.56,8.6%,100.0%,2,100.0%,4,100.0%
KCP,2.0,5.5%,85.7%,1.75,3.2%,75.0%,4,75.0%,0,N/A,2.1,7.9%,90.0%,6,100.0%,4,75.0%
PORTER,0.8,2.0%,50.0%,0.0,0.8%,N/A,0,N/A,0,N/A,1.0,3.1%,50.0%,2,100.0%,2,0.0%
BROWN,2.33,1.2%,100.0%,2.0,1.6%,100.0%,2,100.0%,0,N/A,3.0,0.8%,100.0%,0,N/A,1,100.0%
OTHERS,0.91,4.3%,50.0%,0.67,4.8%,33.3%,6,33.3%,0,N/A,1.2,3.9%,100.0%,2,100.0%,0,N/A
ISO,1.25,43.1%,57.3%,1.21,36.8%,58.3%,34,55.9%,2,100.0%,1.27,49.4%,56.6%,16,87.5%,37,43.2%
Transition,1.43,12.4%,61.5%,1.5,6.9%,66.7%,5,80.0%,1,0.0%,1.41,17.9%,60.0%,9,88.9%,11,36.4%
Attacking Closeouts,0.55,4.3%,33.3%,0.76,6.3%,66.7%,3,66.7%,0,N/A,0.0,2.4%,0.0%,3,0.0%,0,N/A
Catch & Shoot,1.71,2.8%,71.4%,1.71,5.6%,71.4%,3,100.0%,4,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,0.8%,100.0%,2.0,0.8%,100.0%,1,100.0%,0,N/A,2.0,0.8%,100.0%,1,100.0%,0,N/A
Cutting,1.14,2.8%,57.1%,1.2,4.0%,60.0%,5,60.0%,0,N/A,1.0,1.6%,50.0%,1,100.0%,1,0.0%
Off. Rebounds,1.62,10.7%,84.2%,1.62,17.6%,85.7%,14,85.7%,0,N/A,1.6,3.9%,80.0%,5,80.0%,0,N/A
PNR / DHO,1.55,22.9%,78.0%,1.39,48.3%,70.4%,27,70.4%,0,N/A,2,51.7%,87.0%,12,100.0%,11,72.7%
TOTAL,1.36,253,65.5%,1.35,49.8%,67.7%,92,68.5%,7,57.1%,1.37,50.2%,63.6%,47,85.1%,60,46.7%
