,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.21,33.7,7,50.9,1.29,32.8,54.3,47,55.3,23,52.2,1.1,35.0,45.5,21,47.6,23,43.5
PNR Screener,1.67,0.8,1,100.0,2.0,0.4,100.0,1,100.0,0,N/A,1.5,1.3,100.0,0,N/A,1,100.0
DHO Ball Handler,0.82,14.3,6,38.8,0.94,14.9,41.2,26,42.3,8,37.5,0.62,13.4,33.3,10,40.0,5,20.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,1.21,2.5,0,55.6,1.02,2.0,50.0,4,50.0,0,N/A,1.4,3.2,60.0,3,66.7,2,50.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.17,24.3,7,53.1,0.95,22.0,44.7,33,54.5,14,21.4,1.44,27.9,64.7,21,71.4,13,53.8
TRANSITION,1.24,13.7,2,51.0,1.26,12.3,46.2,11,45.5,15,46.7,1.21,15.9,56.5,15,73.3,8,25.0
Attacking Closeouts,1.23,1.2,0,50.0,1.03,1.6,33.3,2,50.0,1,0.0,2.0,0.6,100.0,1,100.0,0,N/A
Catch & Shoot,1.0,3.0,0,33.3,1.0,4.9,33.3,0,N/A,12,33.3,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.32,3.4,3,62.5,1.69,4.4,71.4,4,50.0,3,100.0,0.0,1.9,0.0,0,N/A,1,0.0
Cutting,1.11,2.2,0,55.6,1.11,3.7,55.6,9,55.6,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.82,1.2,0,25.0,1.39,1.2,50.0,2,50.0,0,N/A,0.0,1.3,0.0,0,N/A,2,0.0
TOTAL,1.14,400,6.5,49.6,1.15,61.0,48.4,139,51.8,76,42.1,1.13,39.0,51.6,71,60.6,55,40.0
