,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.86,13.5,15,40.0,0.87,10.7,41.4,35,48.6,23,30.4,0.86,23.5,37.8,18,44.4,19,31.6
PNR Screener,1.12,7.5,4,45.1,1.1,8.5,45.5,25,68.0,19,15.8,1.29,3.7,42.9,2,0.0,5,60.0
DHO Ball Handler,0.7,2.5,0,28.6,0.32,2.3,13.3,7,28.6,8,0.0,1.67,3.2,66.7,2,100.0,4,50.0
DHO Screener,0.97,1.8,1,50.0,2.0,0.6,100.0,4,100.0,0,N/A,0.61,6.1,30.0,6,50.0,4,0.0
DBL Ball Handler,0.58,0.8,0,16.7,0.26,0.6,0.0,3,0.0,0,N/A,1.0,1.6,33.3,0,N/A,3,33.3
DBL Screener,1.0,0.3,0,33.3,1.0,0.4,33.3,0,N/A,3,33.3,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.83,19.5,15,38.3,0.77,19.7,33.3,97,36.1,20,20.0,1.05,18.7,62.5,14,85.7,10,30.0
TRANSITION,1.25,20.0,20,65.1,1.28,18.9,68.8,75,80.0,18,22.2,1.17,23.7,54.5,19,73.7,14,28.6
Attacking Closeouts,1.08,8.0,8,53.4,1.12,8.1,54.2,39,56.4,9,44.4,0.93,7.4,50.0,6,33.3,4,75.0
Catch & Shoot,0.94,13.0,0,31.2,0.93,15.9,30.8,2,0.0,105,31.4,1.2,2.7,40.0,1,0.0,4,50.0
Off Ball Screens,1.5,1.9,0,50.0,1.5,2.5,50.0,3,66.7,11,45.5,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.01,7.1,7,54.2,1.03,8.4,54.5,44,54.5,0,N/A,0.8,2.7,50.0,2,100.0,2,0.0
Off. Rebounds,1.34,4.2,3,60.7,1.57,3.4,72.2,16,75.0,2,50.0,0.93,6.9,40.0,2,100.0,8,25.0
TOTAL,1.02,859,8.5,45.7,1.02,78.1,45.2,350,55.7,218,28.4,1.01,21.9,47.7,72,62.5,77,33.8
