,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.39,24.0%,0,50.0%,1.14,12.6%,N/A,0,N/A,0,N/A,1.5,40.0%,50.0%,0,N/A,2,50.0%
PNR Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISOLATION,0.67,25.0%,1,50.0%,1.0,28.6%,50.0%,2,50.0%,0,N/A,0.0,20.0%,N/A,0,N/A,0,N/A
TRANSITION,1.45,28.7%,0,66.7%,1.0,28.6%,50.0%,2,50.0%,0,N/A,2.08,28.8%,100.0%,1,100.0%,0,N/A
Attacking Closeouts,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,16.7%,0,50.0%,0.0,14.3%,0.0%,0,N/A,1,0.0%,3.0,20.0%,100.0%,0,N/A,1,100.0%
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,16.7%,0,0.0%,0.0,28.6%,0.0%,2,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,1.05,12,8.3%,45.5%,0.63,58.3%,28.6%,6,33.3%,1,0.0%,1.65,41.7%,75.0%,1,100.0%,3,66.7%
