,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.33,35.3,1,80.0,1.2,41.7,75.0,4,75.0,0,N/A,2.0,20.0,100.0,1,100.0,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,0.4,29.4,0,20.0,0.0,25.0,0.0,3,0.0,0,N/A,1.0,40.0,50.0,2,50.0,0,N/A
Attacking Closeouts,3.0,5.9,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,3.0,20.0,100.0,0,N/A,1,100.0
Catch & Shoot,1.0,17.6,0,33.3,1.0,25.0,33.3,0,N/A,3,33.3,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,5.9,1,N/A,0.0,8.3,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.06,11.1,0,0.0,2.27,7.3,N/A,0,N/A,0,N/A,0.0,20.0,0.0,0,N/A,1,0.0
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.01,17,11.8,46.7,0.85,70.6,40.0,7,42.9,3,33.3,1.4,29.4,60.0,3,66.7,2,50.0
