,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,2.0,5.0%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,2.0,33.3%,0,100.0%,1,100.0%,0,N/A
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BRYANT,0.67,15.0%,0,33.3%,0.0,11.8%,0,0.0%,1,0.0%,1,0.0%,2.0,33.3%,0,100.0%,1,100.0%,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,1.23,12.2%,0,50.0%,1.23,14.4%,0,50.0%,2,50.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Transition,1.16,21.6%,1,50.0%,1.51,19.5%,1,100.0%,1,100.0%,0,N/A,0.0,33.3%,0,0.0%,0,N/A,1,0.0%
Attacking Closeouts,0.0,15.0%,1,0.0%,0.0,17.6%,1,0.0%,2,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,20.0%,0,0.0%,0.0,23.5%,0,0.0%,0,N/A,4,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,0.0,5.0%,0,0.0%,0.0,5.9%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,0.53,9.4%,0,0.0%,0.53,11.1%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.0,20.0%,0,50.0%,0.0,50.0%,0,0.0%,1,0.0%,1,0.0%,2,50.0%,0,100.0%,2,100.0%,0,N/A
TOTAL,0.63,20,2,25.0%,0.51,85.0%,2,15.4%,8,25.0%,5,0.0%,1.33,15.0%,0,66.7%,2,100.0%,1,0.0%
