,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
MURRAY,0.0,5.9%,1,N/A,0.0,9.1%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.6,29.4%,2,33.3%,1.5,18.2%,50.0%,1,0.0%,1,100.0%,0.0,50.0%,0.0%,1,0.0%,0,N/A
Transition,1.5,31.3%,0,75.0%,1.81,30.2%,100.0%,2,100.0%,0,N/A,1.0,33.3%,50.0%,2,50.0%,0,N/A
Attacking Closeouts,2.0,5.9%,0,100.0%,2.0,9.1%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,5.9%,0,0.0%,0.0,9.1%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,11.8%,0,0.0%,0.0,18.2%,0.0%,2,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,11.8%,0,100.0%,2.0,9.1%,100.0%,1,100.0%,0,N/A,2.0,16.7%,100.0%,1,100.0%,0,N/A
PNR / DHO,0.0,5.9%,1,nan%,0.0,100.0%,nan%,0,nan%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,0.98,17,17.6%,53.8%,1.15,64.7%,55.6%,7,57.1%,2,50.0%,0.67,35.3%,50.0%,4,50.0%,0,nan%
