,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,1.0,18.8%,0,33.3%,1.5,20.0%,50.0%,0,N/A,2,50.0%,0.0,16.7%,0.0%,1,0.0%,0,N/A
MURRAY,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.0,12.5%,0,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A,1.0,33.3%,50.0%,1,100.0%,1,0.0%
Transition,1.29,43.8%,2,80.0%,1.0,40.0%,100.0%,2,100.0%,0,N/A,1.67,50.0%,66.7%,1,100.0%,2,50.0%
Attacking Closeouts,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,18.8%,0,33.3%,1.0,30.0%,33.3%,0,N/A,3,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,2.13,11.8%,0,100.0%,2.13,18.8%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.0,18.8%,0,33.3%,1.5,66.7%,50.0%,0,nan%,2,50.0%,0,33.3%,0.0%,1,0.0%,0,N/A
TOTAL,1.24,16,12.5%,57.1%,1.29,62.5%,62.5%,3,100.0%,5,40.0%,1.17,37.5%,50.0%,3,66.7%,3,33.3%
