,JOKIC,GORDON,BRYANT,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,N/A,N/A,0.67,N/A,N/A,0.0,2.0,1.5,1.5,N/A,N/A,N/A,0.67,1.11
% of Poss.,0.0%,0.0%,30.8%,0.0%,0.0%,7.7%,15.4%,23.1%,23.1%,0.0%,0.0%,0.0%,30.8%,13
Total FG%,N/A,N/A,33.3%,N/A,N/A,0.0%,100.0%,50.0%,50.0%,N/A,N/A,N/A,33.3%,44.4%
Shooting PPP,N/A,N/A,0.0,N/A,N/A,0.0,N/A,1.5,1.5,N/A,N/A,N/A,0.0,1.0
% of Shooting Poss.,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,0.0%,37.5%,37.5%,0.0%,0.0%,0.0%,25.0% | 1,61.5% | 6
Shooting FG%,N/A,N/A,0.0%,N/A,N/A,0.0%,N/A,50.0%,50.0%,N/A,N/A,N/A,0.0%,33.3%
Shooting 2pt Att.,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Shooting 2pt FG%,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,0.0%
Shooting 3pt Att.,0,0,0,0,0,1,0,2,2,0,0,0,0,5
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,50.0%,50.0%,N/A,N/A,N/A,nan%,40.0%
Passing PPP,N/A,N/A,1.0,N/A,N/A,N/A,2.0,N/A,N/A,N/A,N/A,N/A,1.0,1.33
% of Passing Poss.,0.0%,0.0%,60.0%,0.0%,0.0%,0.0%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0% | 2,38.5% | 3
Passing FG%,N/A,N/A,50.0%,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,50.0%,66.7%
Passing 2pt Att.,0,0,2,0,0,0,1,0,0,0,0,0,2,3
Passing 2pt FG%,N/A,N/A,50.0%,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,50.0%,66.7%
Passing 3pt Att.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan%,nan%
